&| ˈʌ w
certifikater|s ˈɛ ɐ̯ t ʔi f ʔi k ˈa d ʔʌ 
certifikaterne|s ˈɛ ɐ̯ t ʔi f ʔi k ˈa d ʔʌ n ə
cerut|s ʔe ʁ ˈʔu t
cerutten|s ʔe ʁ ˈʔu d ə n
cerutti|s ʔe ʁ ˈʔu t ʔi
cesar|s ˈʔe s ɑ
cess|s ˈʔe s
cevea|s ˈe ʋ ʔe ˌa
cfa|k f ˈa
chaaban|ʃ ˈa a b ˌa n
chaban|ʃ ˈa b a n
chad|ʃ ˈa ð
chaker|ʃ ˈ?ɑ k ʔʌ 
challenge|tʃ ˈa l ε n dʒ
challenger|tʃ ˈa l ε n dʒ ɐ̯
chalmers|ʃ ˈa l m ʔʌ s
champagne|ʃ ?ɑ m p ˈa n j ə
champagnepropperne|ʃ ?ɑ m p ˈa n j ə p ɐ̯ ʔʌ p ˌʔʌ n ə
champagner|ʃ ?ɑ m p ˈa n j ə ɐ̯
champagnesabler|ʃ ?ɑ m p ˈa n j ə s a b l ˌʔʌ 
champions|ʃ ˈ?ɑ m p ʔi ˌʔo n s
championship|ʃ ˈ?ɑ m p ʔi ˌʔo n s h ʔi p
championships|ʃ ˈ?ɑ m p ʔi ˌʔo n s h ʔi p s
chan|ʃ ˈ?ɑ n
chancefattig|ʃ ˈ?ɑ n s e f ˌa t ʔi
chancefattige|ʃ ˈ?ɑ n s e f ˌa t ʔi ə 
chanceløs|ʃ ˈ?ɑ n s ʔe l ˌʔœ s
chancen|ʃ ˈ?ɑ n s ə n
chanceproduktion|ʃ ˈ?ɑ n s ʔe p ʁ ˌʔo ð ʔu k ʃ ˌʔo n
chancer|ʃ ˈ?ɑ n s ʔʌ
chancerig|ʃ ˈ?ɑ n s e ʁ ˌʔi
chancerne|ʃ ˈ?ɑ n s ʔʌ n ə
chang|ʃ ˈ?ɑ ŋ
change|ʃ ˈ?ɑ ŋ ə 
changeren|ʃ ?ɑ ŋ ˈʔe ɐ̯ ʔʌ n
changes'|ʃ ˈ?ɑ ŋ ə  s
changin'|ʃ ˈ?ɑ ŋ ʔi n
changs|ʃ ˈ?ɑ ŋ s
channo|ʃ ˈ?ɑ n ʔo
chantelle|ʃ ˈ?ɑ n t ə l ə 
chaos’|ʃ ˈa ʔo s
charcots|ʃ ˈɑ k ʔo t s
charité|ʃ ˌɑ ʁ ʔi t ˈʔe
charlatan|ʃ ˈɑ l a t ˌa n
charles|tʃ ˈɑɑ l s
charlie|tʃ ˈɑ l i
charlize|ʃ ˈɑ l i s ə 
charlot|ʃ ˈɑ l ʔʌ t
charlotte|ʃ ˈɑ l ʔʌ t ə
charlotteager|ʃ ˈɑ l ʔʌ t ə  ˌ?ɑ ɡ ʔʌ
charlottenborg|ʃ ˈɑ l ʔʌ d ə n b ˌɒɒ w
charlottenlund|ʃ ˈɑ l ʔʌ d ə n l ˌɒ n
charlotteskolen|ʃ ˈɑ l ʔʌ t ˌε s k o l ə n
charly|ʃ ˈɑ l ʔy
charmen|ʃ ˈɑ m ə n
charmerende|ʃ ɑ m ˈʔe ɐ̯ ə n ə
charmeret|ʃ ɑ m ˈʔe ʌ ð
charpentier|ʃ ˈɑ p ε n t j ˌʔʌ 
charter|ʃ ˈɑ t ʔʌ
charterbranchen|ʃ ˈɑ t ʔʌ b ɐ̯ ˌɑ ŋ ʃ ə n
charterdirektøren|ʃ ˈɑ t ʔʌ d ˌi ʁ ?a k t ˌœ ʔʌ n
charterfly|ʃ ˈɑ t ʔʌ f l ˌʔy
charterflyene|ʃ ˈɑ t ʔʌ f l ˌʔy ə n ə
charterrejser|ʃ ˈɑ t ʔʌ ʁ ˌ?ɑ j s ʔʌ 
charterselskaberne|ʃ ˈɑ t ʔʌ s ˌε l s k a b ˌʔʌ n ə
chartertur|ʃ ˈɑ t ʔʌ t ˌʔu ɐ̯
chartrer|ʃ ˈɑ t ɐ̯ ʔʌ
chartret|ʃ ˈɑ t ɐ̯ ʔʌ ð
charts| tʃ ˈɑː t s 
chas|ʃ ˈa s
chase|ʃ ˈa s ə 
chat|t j ˈa t
chatfunktion|t j ˈa t f ɔ ŋ ʃ ˌʔo n
chatle|t j ˈa t l ə 
chats|t j ˈa t s
chatte|t j ˈa t ə 
chaufføren|ʃ o f ˈʔœ ɐ̯ ʔʌ n
chaufførens|ʃ o f ˈʔœ ɐ̯ ʔʌ n s
chauffører|ʃ o f ˈʔœ ʌ
chaufførerne|ʃ o f ˈʔœ ʔʌ n ə
chaufførernes|ʃ o f ˈʔœ ʔʌ n ə s
chaufførgruppen|ʃ o f ˈʔœ ɐ̯ ɡ ʁ ʔu p ə n
chauvin|ʃ ˈʔo ʋ ʔi n
chaves|ʃ ˈa ʋ ə  s
check|ʃ ˈε k
checke|ʃ ˈε k ə 
checken|ʃ ˈε k ə n
cheerleader|ʃ ˈʔe ʔʌ l ˌʔe a ð ˌʔʌ 
cheeseburger|tʃ ˈiː s b œ ɡ ˌʔʌ
chef|ʃ ˈε f
chefen|ʃ ˈε f ə n
chefens|ʃ ˈε f ə n s
chefer|ʃ ˈε f ʔʌ 
cheferne|ʃ ˈε f ʔʌ n ə
chefernes|ʃ ˈε f ʔʌ n ə s
chefforhandler|ʃ ˈε f ɒ h ˌa n l ʔʌ 
chefgruppen|ʃ ˈε f ɡ ʁ ʔu p ə n
chefjordemoder|ʃ ˈε f j ʔo ʁ ˌε m ʔo ɐ̯
chefkokken|ʃ ˈε f k ʔʌ k ə n
chefkonsulent|ʃ ˈε f k ʔʌ n s ˌu l ε n t
chefkonsulenten|ʃ ˈε f k ʔʌ n s ˌu l ε n d ə n
chefniveau|ʃ ˌε f n i ʋ ˈʔo
chefpolitiinspektør|ʃ ˈε f p ʔo l ˌʔi t ʔi ˌʔe n s p ʔe k t ˌʔœ ɐ̯
chefpolitiinspektøren|ʃ ˈε f p ʔo l ˌʔi t ʔi ˌʔe n s p ʔe k t ˌœ ʔʌ n
chefpost|ʃ ˈε f p ʔʌ s d
chefposter|ʃ ˈε f p ʔʌ s t ˌʔʌ 
chefpsykolog|ʃ ˌε f s ʔy k ʔo l ˈɒ
chefredaktionen|ʃ ˈε f ʁ ε d ˌ?ɑ k ʃ o n ə n
chefredaktør|ʃ ˌε f ʁ ε d ?ɑ k t ˈʔœ ɐ̯
chefredaktøren|ʃ ˌε f ʁ ε d ?ɑ k t ˈʔœ ʔʌ n
chefredaktører|ʃ ˌε f ʁ ε d ?ɑ k t ˈʔœ ɐ̯ ʔʌ
cheftræner|ʃ ˈε f t ʁ ɛ n ˌʔʌ
cheftræneren|ʃ ˈε f t ʁ ɛ n ˌʌː ʌ n
cheftrænerens|ʃ ˈε f t ʁ ɛ n ˌʔʌ ɐ̯ ʔʌ n s
cheføkonom|ʃ ˈε f ʔœ k ˌʔo n ʔo m
chelsea|tʃ ˈε l s ʔi
chelseas|tʃ ˈε l s ʔi s
cheminova|ʃ ˈε m ʔi n ˌo ʋ a
chemnitz|ʃ ˈε m n ʔi t s
chemometec|ʃ ˈε m o m ˌʔe t ʔe k
chen|ʃ ˈə n
cher|ʃ ˈʔʌ
cheuk|ʃ ˈʔe ʔu k
chiagrød|ʃ ˈʔi ?ɑ ɡ ʁ ˌʔœ ð
chiara|ʃ ˈʔi ɑ ʁ ˌɑ
chicago|ʃ ʔi k ˈɑ ɡ ɒ w
chicagos|ʃ ʔi k ˈɑ ɡ ɒ w s
chihuahua|tʃ i w ˈa w a
chikanerende|ʃ ʔi k ˌa n ˈʔe ɐ̯ ə n ə
chikanerne|ʃ ʔi k ˈa n ʔʌ n ə
chile|ʃ ˈi l ə 
chilenerne|ʃ i l ˈe n ʔʌ n ə
chilenske|ʃ i l ˈʔe n s k ə 
chimney|ʃ ˈʔe m n ʔi
chimpanse|ʃ ʔe m p ˈa n s ə 
chimpanser|ʃ ʔe m p ˈa n s ʔʌ
china|t j ˈaɪ n a
ching|ʃ ˈʔe ŋ
chippede|tʃ j ˈʔi p ə ð ə
chitetsu|ʃ ˈi t ʔe t s ˌʔu
chocolatier|ʃ ˈʔo k ʔo l ˌa t j ʔʌ 
chocolatieruddannelsen|ʃ ˈʔo k ʔo l ˌa t ʔi ˌʔe ʁ ʔu ð d ˌa n ə l s ə n
chokbølger|ʃ ˈʔʌ k b ʔœ l j ˌʔʌ
chokere|ʃ ʔʌ k ˈʔe ʔʌ
chokerede|ʃ ʔʌ k ˈʔe ɐ̯ ʔʌ ð ə
chokerende|ʃ ʔʌ k ˈʔe ɐ̯ ə n ə
chokeret|ʃ ʔʌ k ˈʔe ʌ ð
chokket|ʃ ˈʔʌ k ə ð
chokoladebar|ʃ ˌʔo k ʔo l ˈaa ð ə b ɑ
chokoladeforretningen|ʃ ˌʔo k ʔo l ˈaa ð ə f ʌː ʁ ˌa t n ʔe ŋ ə n
chokoladeis|ʃ ˌʔo k ʔo l ˈaa ð ə  ʔi s
chokoladejulekalender|ʃ ˌʔo k ʔo l ˈaa ð ə j u l ə  k ˌa l ə n ʔʌ
chokolademageren|ʃ ˌʔo k ʔo l ˈaa ð ə m a j ˌʌ ʔʌ n
chokolademuffins|ʃ ˌʔo k ʔo l ˈaa ð ə m ʔʌ f ˌɪ n s
chokoladen|ʃ ˌʔo k ʔo l ˈaa ð ə n
chokoladens|ʃ ˌʔo k ʔo l ˈaa ð ə n s
chokoladeovertræk|ʃ ˌʔo k ʔo l ˈaa ð ə  ɒ w ˌʔʌ t ʁ ?a k
chokoladepapir|ʃ ˌʔo k ʔo l ˈaa ð ə p a p ˌʔi ɐ̯
chokolader|ʃ ˌʔo k ʔo l ˈaa ð ʔʌ ɐ̯
chokoladeuddannelse|ʃ ˌʔo k ʔo l ˈaa ð ə  ʔu ð d ˌa n ə l s ə 
chokoladeæg|ʃ ˌʔo k ʔo l ˈaa ð ə  ε ɡ
chongqing|ʃ ˈʔʌ ŋ k ʔe ŋ
choquehuanca|ʃ ˈʔʌ k h ʔu ˌa n k a
chou|ʃ ˈʔu
choupo|ʃ ˈʔu p ʔo
chow|ʃ ˈʔo w
chr|s ˌe h ˌɒɒ ˈɛ ɐ̯
chresten|k ʁ ˈ?a s d ə n
chrevrolet|k ʁ ˈε ʋ ʁ o l ə ð
chris|k ʁ ˈʔi s
chrissy|k ʁ ˈʔi s ʔy
christa|k ʁ ˈʔe s t a
christchurch|k ʁ ˈʔe s t tʃ œː tʃ
christel|k ʁ ˈʔe s t ə l
christensen|k ʁ ˈʔe s t ʔe n s ə n
christensens|k ʁ ˈʔe s t ʔe n s ə n s
christenson|k ʁ ˈʔe s t ʔe n s ˌʔʌ n
christian|k ʁ ˈʔi s t ʔi ˌa n
christiana|k ʁ ˈʔi s t ʔi ˌa n a
christianborgs|k ʁ ˈʔi s t ʔi ˌa n b ɒɒ w s
christiania|k ʁ ˈʔi s t ʔi ˌa n ʔi ˌa
christianiacykel|k ʁ ˈʔi s t ʔi ˌa n ʔi ˌa s ʔy k ə l
christians|k ʁ ˈʔi s t ʔi ˌa n s
christiansborg|k ʁ ˈʔi s t ʔi ˌa n s b ɒɒ w
christiansborgfnidder|k ʁ ˈʔi s t ʔi ˌa n s b ɒɒ w f n ˌʔi ð ʔʌ 
christiansborgs|k ʁ ˈʔi s t ʔi ˌa n s b ɒɒ w s
christiansen|k ʁ ˈʔi s t ʔi ˌa n s ə n
christiansens|k ʁ ˈʔi s t ʔi ˌa n s ə n s
christiansfeld|k ʁ ˈʔi s t ʔi ˌa n s f ε l
christianshavn|k ʁ ˈʔi s t ʔi ˌa n s h ɑ ˌʔu n
christianshavns|k ʁ ˈʔi s t ʔi ˌa n s h ɑ ˌʔu n s
christianskirken|k ʁ ˈʔi s t ʔi ˌa n s k ʔi ɐ̯ k ə n
christiansminde|k ʁ ˈʔi s t ʔi ˌa n s m ʔe n ə 
christie|k ʁ ˈʔi s t j ə 
christina|k ʁ ˈʔi s t i n ˌa
christinas|k ʁ ˈʔi s t i n ˌa s
christine|k ʁ ˈʔi s t i n ə 
christinna|k ʁ ˈʔi s t ʔi n ˌa
christmas|k ʁ ˈʔe s t m a s
christmas«|k ʁ ˈʔe s t m a s
christoffer|k ʁ ˈʔi s t ʔʌ f ˌʔʌ 
christoffersen|k ʁ ˈʔi s t ʔʌ f ˌɛ ɐ̯ s ə n
christoph|k ʁ ˈʔi s t ʔʌ p h
christophe|k ʁ ˈʔi s t ʔʌ p h ə 
christopher|k ʁ ˈʔi s t ʔʌ p h ˌʔʌ 
christophersen|k ʁ ˈʔi s t ʔʌ p h ˌε ɐ̯ s ə n
christtreu|k ʁ ˈʔe s t ʁ ε ˌʔu
chrome|k ʁ ˈo m ə 
chromebooks|k ʁ ˈo m ʔe b ˌuː k s
chronicle|k ʁ ˈo n ʔi k l ə 
chuck|ʃ ˈʔu k
chung|ʃ ˈɒ ŋ
church|tʃ ˈœː tʃ
churchill|tʃ ˈœː ʃ ʔi l
chutkan|ʃ ˈʔu t k a n
chávez|ʃ ˈa ʋ ə s
château|ʃ a t ˈʔo
cia| s ˌiː  ˌaɪ ˈeɪ 
cicila|s ˈʔi s ʔi l ˌa
cider|s ˈi ð ʔʌ 
cieslar|s ˈʔi ʔe s l ˌɑ
cifre|s ˈʔi f ʁ ʔʌ
ciftci|s ˈʔi f t s ʔi
cifuentes|s ˈʔi f ʔu ˌε n d ə  s
cigarer|s ʔi ɡ ˈɑ ʔʌ 
cigaretfiltre|s ʔi ɡ ə ʁ ˈa t f ʔi l t ʁ ˌʔʌ
cigaretskod|s ʔi ɡ ə ʁ ˈa t s k ʔʌ ð
cigaretten|s ʔi ɡ ə ʁ ˈa t ə n
cigaretter|s ʔi ɡ ə ʁ ˈa t ʔʌ
cigaretterene|s ʔi ɡ ə ʁ ˈa t e ˌʔʌ n ə
cigaretterne|s ʔi ɡ ə ʁ ˈa t ʔʌ n ə
cigaretæsker|s ʔi ɡ ə ʁ ˈa t ε s k ˌʔʌ 
cigaræske|s ʔi ɡ ˈɑ ?a s k ə 
cik|s ˈʔi k
cikaderne|s ʔi k ˈaa ð ʔʌ ɐ̯ n ə
cikadernes|s ʔi k ˈaa ð ʔʌ ɐ̯ n ə  s
cimber|s ˈʔe m b ʔʌ 
cimen|s ˈi m ə n
cindy|s ˈʔe n d i
cinemaxx|s ˈi n ə m ?ɑ ɡ s ɡ s
ciprian|s ˈʔi p ʁ ʔi ˌa n
circle|s ˈʔi ɐ̯ k l ə 
circuit|s ˈʔi ɐ̯ k ʔu ˌʔi t
cirio|s ˈʔi ʁ ʔi ˌʔo
cirka|s ˈʔi ɐ̯ k a
cirkel|s ˈʔi ɐ̯ k ə l
cirkelspark|s ˈʔi ɐ̯ k ə l s p ɑɑ k
cirkler|s ˈʔi ɐ̯ k l ʔʌ 
cirkulerer|s ˌʔi ɐ̯ k u l ˈʔe ʔʌ 
cirkuleret|s ˌʔi ɐ̯ k u l ˈʔe ʌ ð
cirkulær|s ˌʔi ɐ̯ k u l ˈε ɐ̯
cirkulære|s ˌʔi ɐ̯ k u l ˈε ʔʌ
cirkulært|s ˌʔi ɐ̯ k u l ˈε ɐ̯ t
cirkus|s ˈʔi ɐ̯ k ʔu s
cirkusagtigt|s ˈʔi ɐ̯ k ʔu s ˌ?ɑ ɡ t ʔi t
cirkuselefanter|s ˈʔi ɐ̯ k u s ˌe l ə f a n t ˌʔʌ 
cirkushest|s ˈʔi ɐ̯ k ʔu s h ˌε s t
cirkushjem|s ˈʔi ɐ̯ k ʔu s j ˌε m
cirkusland|s ˈʔi ɐ̯ k ʔu s l ˌa n
cirkusmuseet|s ˌʔi ɐ̯ k ʔu s m u s ˈε ə ð
cirkusposer|s ˈʔi ɐ̯ k ʔu s p ˌo s ʔʌ 
cirkusrevyen|s ˈʔi ɐ̯ k ʔu s ʁ ˌε ʋ y ə n
cirque|s ˈʔi ɐ̯ k
cirrhose|s ˈʔi ɐ̯ h o s ə
citat|s ʔi t ˈa d
citater|s ʔi t ˈa d ʔʌ 
citaterne|s ʔi t ˈa d ʔʌ n ə
citatet|s ʔi t ˈa d ə ð
citerede|s i t ˈʔe ɐ̯ ʔʌ ð ə
citerer|s i t ˈʔe ʔʌ 
citeres|s i t ˈʔe ɐ̯ ʔʌ s
citeret|s i t ˈʔe ʌ ð
citroner|s ʔi t ʁ ˈʔo n ʔʌ 
citronsaft|s ʔi t ʁ ˈʔo n s ?ɑ f t
citroën|s ˈʔi t ʁ ʔo ˌɛ n
citroën'|s ˈʔi t ʁ ʔo ˌɛ n
citrus|s ˈʔi t ʁ ʔu s
city|s ˈʔi t i
citychef|s ˈʔi t i ʃ ˌε f
citychefen|s ˈʔi t i ʃ ˌε f ə n
cityforening|s ˈʔi t i f ˌɒ ε n ˌʔe ŋ
cityforeningen|s ˈʔi t i f ˌɒ ε n ˌʔe ŋ ə n
citykoordinator|s ˈʔi t i k ˌo ɒɒ d ˌʔi n a t ˌʔʌ
citykoordinatoren|s ˈʔi t i k ˌo ɒɒ d ˌʔi n a t ˌʌ ʔʌ n
citymanager|s ˈʔi t i m ˌa n ʔe dʒ ˌʔʌ
citys|s ˈʔi t i s
civilbacheloruddannelserne|s ʔi ʋ ˈi l b ɑ x ə l ˌʔo ʁ ʔu ð d ˌa n ə l s ʔʌ n ə
civilbetjente|s ʔi ʋ ˈi l b ʔe t j ˌε n d ə 
civilbiler|s ʔi ʋ ˈi l b ʔi l ˌʔʌ 
civilcourage|s ʔi ʋ ˈi l k ʔu ʁ ˌ?ɑ w ə
civile|s ʔi ʋ ˈi l ə
civilingeniør|s ʔi ʋ ˈi l ʔe n ʃ ə n j ˌʔœ ɐ̯
civilingeniøruddannelsen|s ʔi ʋ ˈi l ʔe n ʃ ə n j ˌʔœ ʁ ʔu ð d ˌa n ə l s ə n
civilisation|s ʔi ʋ ˌi l ʔi s a ʃ ˈʔo n
civilisationens|s ʔi ʋ ˌi l ʔi s a ʃ ˈʔo n ə n s
civilisationskritik|s ʔi ʋ ˌi l ʔi s a ʃ ˈʔo n s ɡ ʁ ʔi t ˌʔi k
civilkædt|s ʔi ʋ ˈi l k ε t
civilsamfundet|s ʔi ʋ ˈi l s ?ɑ m f ˌɒ n ə ð
civilsamfundets|s ʔi ʋ ˈi l s ?ɑ m f ˌɒ n ə ð s
civilstand|s ʔi ʋ ˈi l s t a n
civilstyrelsen|s ʔi ʋ ˈi l s t y ˌʔʌ l s ə n
civilt|s ʔi ʋ ˈi l t
ck|s ˌe k ˈɒɒ
claes|k l ˈa ə  s
clair|k l ˈɛː ɐ̯
claire|k l ˈɛː ɐ̯
clairvoyant|k l ε ɐ̯ ʋ ˌʌ j ˈa n t
clairvoyante|k l ε ɐ̯ ʋ ˌʌ j ˈa n t ə 
clara|k l ˈɑ ʁ ɑ
clarin|k l ˈɑ ʁ ʔi n
clark|k l ˈɑɑ k
clarke|k l ˈɑ k ə 
clasen|k l ˈa s ə n
clashede|k l ˈa s h ə ð ə
class|k l ˈa s
classenske|k l ˈa s ə n s k ə 
classic|k l ˈa s ʔi k
classiccarhouse|k l ˈa s ʔi k s ˌɑ h ɑ w s
classic’|k l ˈa s ʔi k
claude|k l ˈɒɒ d
claudia|k l ˈɑ w ð ʔi ˌa
claus|k l ˈɑ w s
clausager|k l ˈɑ w s a j ˌʌ
clausen|k l ˈɑ w s ə n
clausens|k l ˈɑ w s ə n s
clausholmvej|k l ˈɑ w s h ʔʌ l m ʋ ˌ?ɑ j
clausmarch|k l ˈɑ w s m ɑ ʃ
clauss|k l ˈɑ w s
clay|k l ˈ?ɑ j
claz|k l ˈa s
clean|k l ˈʔe a n
cleantech|k l ˈʔe a n t ˌε k
cleanup|k l ˈʔe a n ˌʔu p
clearet|k l ˈʔe ɑ ˌ?ɑ ə ð
clearingkontor|k l ˌʔe a ʁ ˌʔe ŋ k ʔo n t ˈʔo ɐ̯
cleese|k l ˈʔe ʔe s ə 
clemens|k l ˈε m ə n s
clement|k l ε m ˈε n t
clemmensen|k l ˈε m ε n s ə n
clemmensens|k l ˈε m ε n s ə n s
cleo|k l ˈʔe ʔo
cleve|k l ˈe ʋ ə 
click|k l ˈʔi k
cliff|k l ˈɪ f
clifford|k l ˈɪ f ʌː d
clijsters|k l ˈʔi j s t ʔʌ s
clint|k l ˈʔe n t
clinton|k l ˈʔe n t ʔʌ n
cloud|k l ˈu ð
club|k l ˈʌ b
clyde|k l ˈaɪ d
cnbc|s ˌe ˌɛ n b ˌe s ˈe
cnbt|s ˌe ˌɛ n b ˌe t ˈeː
cnn|s ˌe ˌɛ n ˈɛ n
co|k ˈʔo
coach| k ˈəʊ tʃ 
coache|k ˈʔo a ʃ ə 
coaching|k ˈʔo a ʃ ˌʔe ŋ
coban|k ˈʔo b a n
cobe|k ˈo b ə 
cobolt|k ˈʔo b ʔʌ l t
cobra|k ˈo b ɐ̯ ɑ
coca|k ˈʔo k a
cocachamba|k ˈʔo k ?ɑ ʃ ˌ?ɑ m b a
cocks|k ˈʔʌ k s
cocktail|k ˈʔʌ k t ε j l
coco|k ˈʔo k ʔo
cocos|k ˈʔo k ʔo s
codan|k ˈʔo ð a n
cody|k ˈʔo ð i
coermann|k ˈʔo ʔe ɐ̯ m ˌa n
cofidis|k ˈo f ʔi ð ˌʔi s
cohen|k ˈɒ u ə n
cohrt|k ˈʔo ɐ̯ t
col|k ˈʔʌ l
cola|k ˈʔo l a
cold|k ˈʔʌ l
colding|k ˈʔʌ l d ʔe ŋ
cole|k ˈo l ə 
coleen|k o l ˈʔeː ə n
coleman|k ˈo l e m ˌa n
colibakterier|k ˈo l ʔi b ˌ?ɑ k t ʔe ɐ̯ j ˌʔʌ
coliforme|k ˈo l ʔi f ˌʌː m ə 
colin|k ˈo l ʔi n
collaborative|k ˈʔʌ l a b ˌʔo ʁ ?ɑ t ˌi ʋ ə 
collage|k ʔʌ l ˈa ʃ ə
collageagtige|k ʔʌ l ˈa ʃ ə  ?ɑ ɡ t ˌʔi ə
collager|k ʔʌ l ˈa ʃ ʔʌ ɐ̯
collect«|k ˈʔʌ l ʔe k t
college|k ˈʔʌ l i dʒ
collet|k ˈʔʌ l ə ð
collin|k ˈʔʌ l ʔi n
collins|k ˈʔʌ l ʔi n s
collstrupgrunden|k ˈʔʌ l s t ʁ u p ɡ ʁ ˌɒ n ə n
colombia|k ˈʔo l ʔo m b ˌʔi a
colombianeren|k ˌʔo l ʔo m b ʔi ˈa n ʌː ʌ n
colombianerne|k ˌʔo l ʔo m b ʔi ˈa n ʔʌ n ə
colombianske|k ˌʔo l ʔo m b ʔi ˈa n s k ə 
colombier|k ˈʔo l ʔo m b ˌʔi ʔʌ 
coloquick|k ˈʔo l ʔʌ k ˌʔu ʔi k
colors|k ˈʔo l ʔo ɐ̯ s
columbia|k ʔo l ˈɒ m b ʔi ˌa
columbus|k ʔo l ˈɒ m b ʔu s
com|k ˈʔʌ m
combat|k ˈʔʌ m b a t
come|k ˈo m ə 
comeback|k ʔʌ m b ˈa k
comets|k ˈo m ə ð s
comfort|k ˈʔʌ m f ɒɒ t
comic|k ˈʔʌ m ʔi k
commerou|k ˈʔʌ m ʔʌ ˌʔu
commonwealth|k ˈʔʌ m ʔo n w ˌʔe a l t h
communications|k ˈʔʌ m ʔu n ˌʔi k a ʃ ˌʔo n s
company|k ˈʔʌ m p a n ˌʔy
companys|k ˈʔʌ m p a n ˌʔy s
compromised|k ˈʔʌ m p ʁ ʔo m ˌi s ʔe ð
compute|k ˈʔʌ m p u d ə 
computerbaserede|k ʌ m p j ˈu t ʌ b ˌa s ʔe ˌʔʌ ð ə
computerbruger|k ʌ m p j ˈu t ʌ b ɐ̯ ˌu ʌ
computere|k ʌ m p j ˈu t ʌ ˌʔʌ
computeren|k ʌ m p j ˈu t ʌ ˌʔʌ n
computerens|k ʌ m p j ˈu t ʌ ˌʔʌ n s
computerfolket|k ʌ m p j ˈu t ʌ f ˌʔʌ l k ə ð
computerkoder|k ʌ m p j ˈu t ʌ k ˌo ð ʔʌ 
computerkriminalitet|k ʌ m p j ˈu t ʌ k ʁ ˌʔi m ʔi n ˌa l i t ˈʔe t
computerkunstner|k ʌ m p j ˈu t ʌ k ˌɒ n s t n ʔʌ
computerne|k ʌ m p j ˈu t ʌ n ə 
computernet|k ʌ m p j ˈu t ʌ n ə ð
computerprogram|k ʌ m p j ˈu t ʌ p ʁ ˌɒ ɡ ʁ ?ɑ m
computerprogrammører|k ʌ m p j ˈu t ʌ p ʁ ˌɒ ɡ ʁ ?ɑ m ˌœ ʔʌ
computerskab|k ʌ m p j ˈu t ʌ s k ˌa b
computerskabt|k ʌ m p j ˈu t ʌ s k ˌ?ɑ b t
computerskærme|k ʌ m p j ˈu t ʌ s k ˌε ɐ̯ m ə 
computerskærmen|k ʌ m p j ˈu t ʌ s k ˌε ɐ̯ m ə n
computerskærmene|k ʌ m p j ˈu t ʌ s k ˌε ɐ̯ m ə n ə
computerspil|k ʌ m p j ˈu t ʌ s p ˌʔe l
computerspillene|k ʌ m p j ˈu t ʌ s p ˌʔe l ə n ə 
computerspillet|k ʌ m p j ˈu t ʌ s p ˌʔe l ə ð
computerstyrede|k ʌ m p j ˈu t ʌ s t ˌy ʔʌ ð ə 
computerteknologi|k ʌ m p j ˈu t ʌ t ˌʔe k n ʔo l ɒ ɡ ˈʔi
computervirus|k ʌ m p j ˈu t ʌ ʋ ˌʔi ʁ ʔu s
comwell|k ˈʔʌ m w ε l
con|k ˈʔo n
concito|k ˈʔʌ n s ʔi t ˌʔo
coney|k ˈo n ʔi
confidence|k ˈʔʌ n f i ð ə n s ə 
congo|k ˈʔʌ n ɡ ʔo
conincks|k ˈo n ʔe n k s
conley|k ˈʔʌ n l i
connect|k ˈʔʌ n ʔe k t
connection|k ˈʔʌ n ʔe k ʃ ˌʔo n
conni|k ˈʔʌ n ʔi
connie|k ˈʔʌ n i
conny|k ˈʔʌ n ʔy
conona|k ˈʔo n ʔo n ˌa
conrad|k ˈʔʌ n ʁ ?ɑ ð
conronapandemien|k ˈʔʌ n ʁ ʔo n ˌɑ p a n ˌʔe m ʔi ə n
consulting|k ˈʔʌ n s ʔu l t ˌʔe ŋ
container|k ʔʌ n t ˈε j n ʔʌ
containerbrand|k ʔʌ n t ˈε j n ə ɐ̯ b ɐ̯ ?ɑ n
containere|k ʔʌ n t ˈε j n ʔʌ ʔʌ
containeren|k ʔʌ n t ˈε j n ʌː ʌ n
containerne|k ʔʌ n t ˈε j n ʔʌ n ə
containersystem|k ʔʌ n t ˈε j n ə ɐ̯ s ʔy s t ˌε m
conte|k ˈʔʌ n d ə 
content|k ˈʔʌ n t ə n t
continental|k ˈʔʌ n t i n ə n t ˌa l
contracting|k ˈʔʌ n t ʁ ?ɑ k t ˌʔe ŋ
contrast«|k ˈʔʌ n t ʁ ?ɑ s t
convention|k ˈʔʌ n ʋ ε n ʃ j ˌʔo n
conway|k ˈʔʌ n w ε j
cookies|k ˈuː k j ə  s
cool|(en) k ˈuː l (da)
coolpriser|k ˈuː l p ʁ ʔi s ˌʔʌ 
coolshop|k ˈuː l s h ʔʌ p
cooltrade|k ˈuː l t ʁ ɑ ð ə 
coolunite|k ˈuː l ʔu n ˌi d ə 
coop|k ˈuː p
cooper|k ˈuː p ʔʌ 
coops|k ˈuː p s
copa|k ˈʔo p a
cope|k ˈo p ə 
copenhagen|k ˈo p ε n h ˌa j- ə n
copenhell|k ˈo p ε n h ˌε l
coprocessering|k ˌʔʌ p ʁ o s ˈε s ˌʔe ɐ̯ ʔe ŋ
copycat|k ˈʔo p ʔy k ˌa t
coranvirusen|k ˈʔo ʁ ?ɑ n ʋ ˌʔi ʁ ʔu s ə n
corbari|k ˈɒ b ɑ ʁ ˌʔi
corbyn|k ˈɒ b ʔy n
corbyns|k ˈɒ b ʔy n s
corden|k ˈɒ d ə n
