&|ɟ ˈəʊɜ v ˌaː2 
felipe| f ɪ1 l ˈiː7 p eɪ1  
felix| f ˈiː7 l ɪ1 k s  
femme|(en) f ˈɛ7 m (vi)
femmes|(en) f ˈɛ7 m z (vi)
fendi| f ˈɛ7 n d ii  
fenerbahce| f ˈɛ7 n əə b ˌɑː1 s  
feng| f ˈɛ7 ŋ  
fenghe| f ˈɛ7 ŋ h  
feo| f ˈiː7  əʊəʊ  
ferdinand| f ˈɜː7 d ɪ1 n ˌa1 n d  
ferdinando| f ˌɜː1 d ɪ1 n ˈa7 n d əʊəʊ  
ferguson| f ˈɜː7 ɡ ə1 s ə1 n  
ferions|(en) f ˈiə7 ɹ ii  ə1 n z (vi)
ferit| f ˈɛ7 ɹ ɪ1 t  
fernandes| f əə n ˈɑː7 n d ɛ1 s  
fernandez| f ɜː1 n ˈa7 n d ɛ1 z  
fernandinho| f ˌɜː1 n ɐɐ n d ˈɪ7 n h əʊəʊ  
fernando| f ɜː1 n ˈa7 n d əʊəʊ  
ferran| f ˈɛ7 ɹ ə1 n  
ferrari| f ə1 ɹ ˈɑːɑː ɹ ii  
ferre| f ˈɛ7 r  
ferré| f ɛ1 ɹ ˈeɪ7  
fertile| f ˈɜː7 t aɪ1 l  
fest| f ˈɛ7 s t  
festival| f ˈɛ7 s t ɪ1 v ələl  
fesạeạ|ˈɛɜ p  ˈɛ1  ˈɛɜ s  ˈaː6  ˈɛ1  ˈaː6
fetterman| f ˈɛ7 t əə m ə1 n  
feyenoord| f ˈeɪ7 ə1 n ˌɔːɔː d  
feygin| f ˈeɪ7 dʒ ɪ1 n  
fff|ˌɛɜ p ˌɛɜ p ˈɛɜ p
fi| f ˌaɪ1  
fiart| f ˈaɪə7 t  
fibo| f ˈiː7 b əʊəʊ  
fichajes| f ˈɪ7 ʃ eɪ1 dʒ z  
fiddlesticks| f ˈɪ7 d ələl s t ˌɪ1 k s  
fie|(en) f ˈaɪ7 (vi)
fiegler| f ˈiː7 ɡ l əə  
field| f ˈiː7 l d  
fifa| f ˈiː7 f ə1  
figgers| f ˈɪ7 ɡ əə z  
fighter| f ˈaɪ7 t əə  
fiingroup| f ˈɪ7  ɪ1 ŋ ɡ ɹ ˌuː1 p  
fiji| f ˈiː7 dʒ ii  
file| f ˈaɪ7 l  
filibuster| f ˈɪ7 l ɪ1 b ˌʌ1 s t əə  
filip| f ˈɪ7 l ɪ1 p  
filleaperdusa|(en) f ˈɪ7 l iː1 p əə d j ˌuː1 s ə1 (vi)
filler| f ˈɪ7 l əə  
fillipelli| f ˌɪ1 l ɪ1 p ˈɛ7 l ɪ1  
filmore| f ˈɪ7 l m ɔːɔː  
film“| f ˈɪ7 l m  
filter| f ˈɪ7 l t əə  
finals| f ˈaɪ7 n ələl z  
finance| f ˈaɪ7 n a1 n s  
financial| f aɪ1 n ˈa7 n ʃ ələl  
fine| f ˈaɪ7 n  
finger| f ˈɪ7 ŋ ɡ əə  
finit|(en) f ˈɪ7 n ɪ1 t (vi)
finlay| f ˈɪ7 n l eɪ1  
finn| f ˈɪ7 n  
finney| f ˈɪ7 n ii  
finnmark| f ˈɪ7 n m ɑːɑː k  
finot|(en) f ˈɪ7 n ɒ1 t (vi)
finpeace| f ˈɪ7 n p iː1 s  
fintech| f ˈɪ7 n t ɛ1 k  
fiona| f ɪ1  ˈəʊəʊ n ə1  
fiorentina| f ɪ1  ˌɒ1 ɹ ə1 n t ˈiː7 n ə1  
firas| f ˈiə7 ɹ ə1 z  
firefox| f ˈaɪə7 f ɒ1 k s  
firevà| f ˈaɪə7 v a1  
firmino| f ɜː1 m ˈiː7 n əʊəʊ  
first| f ˈɜː7 s t  
fish| f ˈɪ7 ʃ  
fisker| f ˈɪ7 s k əə  
fission| f ˈɪ7 ʃ ə1 n  
fit| f ˈɪ7 t  
fitzgerald| f ɪ1 t s dʒ ˈɛ7 ɹ ələl d  
five| f ˈaɪ7 v  
fiveseasons| f ˈaɪ7 v s iː1 z ə1 n z  
fivethirtyeight| f ˌaɪ1 v θ ə1 t ɪ1  ˈeɪ7 t  
fl|ˌɛɜ p ˈɛ7 l əː2 
flac| f l ˈa7 k  
flagship| f l ˈa7 ɡ ʃ ɪ1 p  
flake| f l ˈeɪ7 k  
flamanville| f l ˈa7 m ə1 n v ˌɪ1 l  
flamengo| f l ˈeɪ7 m ŋ ɡ əʊəʊ  
flamingo| f l ɐɐ m ˈɪ7 ŋ ɡ əʊəʊ  
flan| f l ˈa7 n  
flash| f l ˈa7 ʃ  
flashpoint| f l ˈa7 ʃ p ɔɪ1 n t  
flaubert|(en) f l ˈɔː7 b əə t (vi)
flavonoid| f l ˈeɪ7 v ə1 n ˌɔɪ1 d  
flc|ˌɛɜ p ˌɛ1 l əː2 s ˈe7 
fletcher| f l ˈɛ7 tʃ əə  
flex| f l ˈɛ7 k s  
flick| f l ˈɪ7 k  
flip| f l ˈɪ7 p  
flirt| f l ˈɜː7 t  
flora| f l ˈɔːɔː ɹ ə1  
florence| f l ˈɒ7 ɹ ə1 n s  
florentino| f l ˌɒ1 ɹ ə1 n t ˈiː7 n əʊəʊ  
florian| f l ˈɒ7 ɹ iə1 n  
florida| f l ˈɒ7 ɹ ɪ1 d ə1  
florida…| f l ˈɒ7 ɹ ɪ1 d ə1  
florita| f l ɒ1 ɹ ˈiː7 t ə1  
flow| f l ˈəʊəʊ  
floyd| f l ˈɔɪ7 d  
fly| f l ˈaɪ7  
flying| f l ˈaɪ7 ɪ1 ŋ  
fm|ˌɛɜ p ˈɛ7 m əː2 
fmcg|ˌɛɜ p ˌɛ1 m əː2 s ˌe1 ð ˈe7 
foa| f ˈəʊəʊ ə1  
foden| f ˈəʊəʊ d ə1 n  
fofana| f ə1 f ˈɑː7 n ə1  
fol|(en) f ˈɒ7 l (vi)
folate| f ˈɒ7 l eɪ1 t  
fold| f ˈəʊəʊ l d  
foley| f ˈəʊəʊ l ii  
folha| f ˈɒ7 l h ə1  
folic| f ˈɒ7 l ɪ1 k  
folie| f ˈəʊəʊ l ii  
folies|(en) f ˈəʊəʊ l ii z (vi)
follow| f ˈɒ7 l əʊəʊ  
fomc| f ˈɒ7 m k  
font| f ˈɒ7 n t  
fontaine|(en) f ˈɒ7 n t eɪ1 n (vi)
foo| f ˈuː7  
food| f ˈuː7 d  
foods| f ˈuː7 d z  
foot| f ˈʊ7 t  
football| f ˈʊ7 t b ɔː1 l  
for| f ɔːɔː  
force| f ˈɔːɔː s  
ford|(en) f ˈɔːɔː d (vi)
forestry| f ˈɒ7 ɹ ɪ1 s t ɹ ii  
forex| f ˈɔːɔː k s  
form| f ˈɔːɔː m  
formaldehyde| f ɔːɔː m ˈa7 l d ɪ1 h ˌaɪ1 d  
format| f ˈɔːɔː m a1 t  
formic| f ˈɔːɔː m ɪ1 k  
formidable|(en) f ɔːɔː m ˈɪ7 d ə1 b ələl (vi)
formol| f ˈɔːɔː m ɒ1 l  
formula| f ˈɔːɔː m j ʊ1 l ə1  
fortuner| f ˈɔːɔː tʃ uː1 n əə  
forums| f ˈɔːɔː ɹ ə1 m z  
foster| f ˈɒ7 s t əə  
fota| f ˈəʊəʊ t ə1  
fou|(en) f ˈuː7 (vi)
foudre|(en) f ˈaʊ7 d əə (vi)
foundation| f aʊ1 n d ˈeɪ7 ʃ ə1 n  
founder| f ˈaʊ7 n d əə  
foutez|(en) f ˈaʊ7 t ɛ1 z (vi)
fox| f ˈɒ7 k s  
foxconn| f ˈɒ7 k s k ɒ1 n  
fpt|ˌɛɜ p p ˌe1 t ˈe7 
francaise|(en) f ɹ aa ŋ k ˈeɪ7 z (vi)
france|(en) f ɹ ˈaa n s (vi)
francesa| f ɹ ˈaa n s ɛ1 s ə1  
francisco| f ɹ aa n s ˈɪ7 s k əʊəʊ  
franck| f ɹ ˈaa ŋ k  
francois| f ɹ ˈa7 n s w ɑː1  
frank| f ɹ ˈa7 ŋ k  
frankfurt| f ɹ ˈa7 ŋ k f ɜː1 t  
franklin| f ɹ ˈa7 ŋ k l ɪ1 n  
franz| f ɹ ˈa7 n t s  
franzén| f ɹ a1 n z ˈeɪ7 n  
fraser| f ɹ ˈeɪ7 s əə  
frasers| f ɹ ˈeɪ7 s əə z  
frattesi| f ɹ ˈa7 t ɛ1 s ii  
frb|ˌɛɜ p ˌɛ1 ʐ əː2 b ˈe7 
fred| f ɹ ˈɛ7 d  
freddie| f ɹ ˈɛ7 d ii  
frederick| f ɹ ˈɛ7 d əə ɹ ˌɪ1 k  
freedom”| f ɹ ˈiː7 d ə1 m  
freeman| f ɹ ˈiː7 m ə1 n  
frenkie| f ɹ ˈɛ7 ŋ k ii  
frere”| f ɹ ˈiə7  
fresh| f ɹ ˈɛ7 ʃ  
freud|(en) f ɹ ˈɔɪ7 d (vi)
freuler| f ɹ ˈuː7 l əə  
friday| f ɹ ˈaɪ7 d eɪ1  
fried| f ɹ ˈaɪ7 d  
frimpong| f ɹ ˈɪ7 m p ɒ1 ŋ  
fritz| f ɹ ˈɪ7 t s  
frodo| f ɹ ˈəʊəʊ d əʊəʊ  
from| f ɹ ɒ1 m  
front|(en) f ɹ ˈʌ7 n t (vi)
frontale| f ɹ ˈʌ7 n t eɪ1 l  
frontier| f ɹ ˈʌ7 n t iə1  
frontiers| f ɹ ˈʌ7 n t iə1 z  
frost| f ɹ ˈɒ7 s t  
frt|ˌɛɜ p ˌɛ1 ʐ əː2 t ˈe7 
fructose| f ɹ ˈʌ7 k t əʊəʊ s  
fruit| f ɹ ˈuː7 t  
fruits|(en) f ɹ ˈuː7 t s (vi)
fsb|ˌɛɜ p ˌɛɜ s b ˈe7 
fta| ˌɛ1 f t ˌiː1  ˈeɪ7  
ftc|ˌɛɜ p t ˌe1 s ˈe7 
ftx|ˌɛɜ p t ˌe1 ˈiɜ c 
fugu| f ˈuː7 ɡ uː1  
fuho| f j ˈuː7 h əʊəʊ  
fuji| f ˈuː7 dʒ ii  
fujifilm| f ˈuː7 dʒ ɪ1 f ˌɪ1 l m  
fujifoods| f ˈuː7 dʒ ɪ1 f ˌuː1 d z  
fujitomi| f ˌuː1 dʒ ɪ1 t ˈəʊəʊ m ii  
fukushima| f j ˌuː1 k ə1 ʃ ˈiː7 m ə1  
fulbright| f ˈʊ7 l b ɹ aɪ1 t  
fulham| f ˈʊ7 l ə1 m  
full| f ˈʊ7 l  
fullkrug| f ˈʊ7 l k ɹ ʌ1 ɡ  
fumigatus| f j ˈuː7 m ɪ1 ɡ ˌa1 t ə1 s  
fumio| f j ˈuː7 m ɪ1  ˌəʊəʊ  
funai| f ˈʌ7 n aɪ1  
fund| f ˈʌ7 n d  
funzy| f ˈʌ7 n z ii  
furigay| f j ˈʊə7 ɹ ɪ1 ɡ ˌeɪ1  
furth| f ˈɜː7 θ  
furuhashi| f j ˌʊə1 ɹ uː1 h ˈa7 ʃ ii  
fusion| f j ˈuː7 ʒ ə1 n  
futa| f j ˈuː7 t ə1  
futsal| f ˈʌ7 t s ələl  
future| f j ˈuː7 tʃ əə  
futures| f j ˈuː7 tʃ əə z  
futute| f j ˈuː7 t j uː1 t  
fvg|ˌɛɜ p v ˌe1 ð ˈe7 
fwd|ˌɛɜ p v ˌe1 k ˌɛɜ p d ˈe7 
fx|ˌɛɜ p ˈiɜ c 
fxx|ˌɛɜ p ˌiɜ c ˈiɜ c 
fé|(en) f ˈeɪ7 (vi)
félix| f ˈeɪ7 l ɪ1 k s  
g|ð ˈe7
ga|ɣ ˈaː7 
gaal| ɡ ˈɑː7 l  
gabbard| ɡ ˈa7 b əə d  
gabon| ɡ ˈa7 b ɒ1 n  
gabriel| ɡ ˈa7 b ɹ iː1  ələl  
gabriele| ɡ ˈa7 b ɹ iː1 l  
gaconnière|(en) ɡ ˌa1 k ə1 n ii  ˈeə7 (vi)
gadolinium| ɡ ˌa1 d ə1 l ˈɪ7 n iə1 m  
gagandeep| ɡ ˈa7 ɡ ɐɐ n d ˌiː1 p  
gagoda| ɡ a1 ɡ ˈəʊəʊ d ə1  
gai|ɣ ˈaː7 j
gaia| ɡ ˈaɪ7 ə1  
gail| ɡ ˈeɪ7 l  
gaiman|ɣ ˈaː7 j m aː1 n 
gakken| ɡ ˈa7 k ə1 n  
gakpo| ɡ ˈa7 k p əʊəʊ  
gala| ɡ ˈɑː7 l ə1  
galah| ɡ ˈa7 l ə1  
galapagos| ɡ ˌa1 l ɐɐ p ˈeɪ7 ɡ əʊəʊ z  
galaxy| ɡ ˈa7 l ɐɐ k s ii  
galgano| ɡ a1 l ɡ ˈɑː7 n əʊəʊ  
galimberti| ɡ ˈa7 l ɪ1 m b əə t ii  
galiter| ɡ ˈa7 l ɪ1 t əə  
gall| ɡ ˈɔː7 l  
gallagher| ɡ ˈa7 l ə1 ɡ əə  
gallate| ɡ ˈa7 l eɪ1 t  
gallery| ɡ ˈa7 l ə1 ɹ ii  
gallon| ɡ ˈa7 l ə1 n  
galtier| ɡ ˈa7 l t ii  əə  
galuzin| ɡ ˈa7 l uː1 z ˌɪ1 n  
galway| ɡ ˈa7 l w eɪ1  
gambia| ɡ ˈa7 m b ii  ə1  
game| ɡ ˈeɪ7 m  
gamers| ɡ ˈeɪ7 m əə z  
games| ɡ ˈeɪ7 m z  
gameshow| ɡ ˈeɪ7 m ʃ əʊəʊ  
gaming| ɡ ˈeɪ7 m ɪ1 ŋ  
gamuda| ɡ a1 m j ˈuː7 d ə1  
gamvest| ɡ ˈa7 m v ɛ1 s t  
gan|ɣ ˈaː7 n
gandhi|(en) ɡ ˈɑː7 n d ii (vi)
ganghwa| ɡ ˈa7 ŋ h w ə1  
gangnam| ɡ ˈa7 ŋ n ɑː1 m  
gangwon| ɡ ˈa7 ŋ w ʌ1 n  
gan…|ɣ ˈaː7 n 
gao|ɣ ˈaː7 w
gara| ɡ ˈɑːɑː ɹ ə1  
garai| ɡ ˈa7 ɹ aɪ1  
garcia| ɡ ˈɑːɑː s iə1  
garconière|(en) ɡ ˌɑːɑː k əʊəʊ n ii  ˈeə7 (vi)
garcía| ɡ ˈɑːɑː ʃ ə1  
garden| ɡ ˈɑːɑː d ə1 n  
gare|(en) ɡ ˈeə7 (vi)
garena| ɡ ˈa7 ɹ ɛ1 n ə1  
gareth| ɡ ˈa7 ɹ ə1 θ  
garfield|(en) ɡ ˈɑːɑː f iː1 l d (vi)
garg| ɡ ˈɑːɑː ɡ  
garland| ɡ ˈɑːɑː l ə1 n d  
garlic| ɡ ˈɑːɑː l ɪ1 k  
garnacho| ɡ ɑːɑː n ˈa7 tʃ əʊəʊ  
garner| ɡ ˈɑːɑː n əə  
garrico| ɡ ˈa7 ɹ ɪ1 k ˌəʊəʊ  
garrincha| ɡ ˈa7 ɹ ɪ1 n tʃ ə1  
garros| ɡ ˈɑːɑː ɹ əʊəʊ z  
gars|(en) ɡ ˈɑːɑː z (vi)
gary| ɡ ˈa7 ɹ ii  
garze| ɡ ˈɑːɑː z  
gas| ɡ ˈa7 s  
gast| ɡ ˈaa s t  
gasum| ɡ ˈa7 s ə1 m  
gates| ɡ ˈeɪ7 t s  
gatsby| ɡ ˈa7 t s b ii  
gatti| ɡ ˈa7 t ii  
gattuso| ɡ a1 t j ˈuː7 s əʊəʊ  
gause|ɣ ˈa7 w s ɛ1 
gavekal| ɡ ˈeɪ7 v k ələl  
gavi| ɡ ˈa7 v ii  
gaw| ɡ ˈɔː7  
gawen| ɡ ˈɔː7 n  
gazprom| ɡ ˈa7 z p ɹ ɒ1 m  
gazprombank| ɡ ˈa7 z p ɹ ə1 m b ˌa1 ŋ k  
gazzaniga| ɡ ˈa7 z ɐɐ n ˌɪ1 ɡ ə1  
gazzetta| ɡ a1 z ˈɛ7 t ə1  
gây| ɡ ˈa7 ii  
gbh|ð ˌe7 b ˌe1 h ˈaɜ t 
gcn|ð ˌe7 s ˌe1 ˈɛ7 n əː2 
gd|ð ˌe7 d ˈe7 
gd&tđ|ð ˌe7 d ˈe1  ɟ ˈəʊɜ v ˌaː2  t ˌe1 d ˈəː7 
gd&đt|ð ˌe7 d ˈe1  ɟ ˈəʊɜ v ˌaː2  d ˌəː1 t ˈe7 
gdmn|ð ˌe7 d ˌe1 ˌɛ1 m əː2 ˈɛ7 n əː2 
gdnn|ð ˌe7 d ˌe1 ˌɛ1 n əː2 ˈɛ7 n əː2 
gdp|ð ˌe7 d ˌe1 p ˈe7 
gdpt|ð ˌe7 d ˌe1 p ˌe1 t ˈe7 
gdt|ð ˌe7 d ˌe1 t ˈe7 
gdđt|ð ˌe7 d ˌe1 d ˌəː1 t ˈe7 
ge| dʒ ˈiː7  
gea| dʒ ˈiː7  
geberit| dʒ ˈɛ7 b əə ɹ ˌɪ1 t  
geely| dʒ ˈiː7 l ii  
gel| dʒ ˈɛ7 l  
gelatin| dʒ ˈɛ7 l ɐɐ t ˌɪ1 n  
gelex| dʒ ˈɛ7 l ɛ1 k s  
geleximco| dʒ ˌɛ1 l ɪ1 k s ˈɪ7 m k əʊəʊ  
gelmetti| dʒ ɛ1 l m ˈɛ7 t ii  
gene| dʒ ˈiː7 n  
generali| dʒ ˌɛ1 n əə ɹ ˈɑː7 l ii  
generic| dʒ ə1 n ˈɛ7 ɹ ɪ1 k  
genetica| dʒ ɪ1 n ˈɛ7 t ɪ1 k ə1  
geneva”| dʒ ə1 n ˈiː7 v ə1  
gene…| dʒ ˈiː7 n  
gennadiy| dʒ ˈɛ7 n ɐɐ d ˌɪ1  ii  
gennady| dʒ ˈɛ7 n a1 d ii  
gennaro| dʒ ɛ1 n ˈa7 ɹ əʊəʊ  
gentle| dʒ ˈɛ7 n t ələl  
genuine| dʒ ˈɛ7 n j uː1 ɪ1 n  
geoff| dʒ ˈɛ7 f  
geoffray| dʒ ˈɛ7 f ɹ eɪ1  
george| dʒ ˈɔːɔː dʒ  
georgia| dʒ ˈɔːɔː dʒ ə1  
georgieva| dʒ ˌɔːɔː dʒ ii  ˈɛ7 v ə1  
georgina| dʒ ɔːɔː dʒ ˈiː7 n ə1  
georginio| dʒ ɔːɔː dʒ ˈɪ7 n ɪ1  ˌəʊəʊ  
geovane| dʒ ˌiː1  əʊəʊ v ˈeɪ7 n  
gepard| dʒ ˈɛ7 p əə d  
geppetto| dʒ ɛ1 p ˈɛ7 t əʊəʊ  
gerald| dʒ ˈɛ7 ɹ ələl d  
gerardo| dʒ ə1 ɹ ˈɑːɑː d əʊəʊ  
gerasimov| dʒ ˈɛ7 ɹ ɐɐ s ˌɪ1 m ɒ1 v  
gerber| dʒ ˈɜː7 b əə  
gerd| dʒ ˈɜː7 d  
germain| dʒ ˈɜː7 m eɪ1 n  
germany| dʒ ˈɜː7 m ə1 n ii  
gerrard| dʒ ˈɛ7 ɹ əə d  
getafe| ɡ ˈɛ7 t eɪ1 f  
getman| ɡ ˈɛ7 t m ə1 n  
geun| dʒ j ˈuː7 n  
gex| dʒ ˈɛ7 k s  
gghb|ð ˌe7 ð ˌe7 h ˌaɜ t b ˈe7 
gh|ð ˌe7 h ˈaɜ t 
ghamdi| ɡ ˈaa m d ii  
ghana| ɡ ˈɑː7 n ə1  
ghani| ɡ ˈa7 n ii  
ghe|ɣ ˈɛ7
ghebreyesus| ɡ ˈɛ7 b ɹ eɪ1 s ə1 s  
ghen|ɣ ˈɛ7 n
ghen”|ɣ ˈɛ7 n 
ghiếc|ɣ ˈiɛɜ c
ghiến|ɣ ˈiɛɜ n
ghi…”|ɣ ˈi7 
ghoddos| ɡ ˈɒ7 d əʊəʊ z  
gholamreza| ɡ ˈɒ7 l ɐɐ m ɹ ˌɛ1 z ə1  
ghosh|ɣ ˈɔ7 s h 
ghpgvn|ð ˌe7 h ˌaɜ t p ˈe1 ð ˌe7 v ˌe1 ˈɛ7 n əː2 
ghrelin| dʒ ˈiː1 h ɹ ˈɛ7 l ɪ1 n  
ghtk|ð ˌe7 h ˌaɜ t t ˌe1 k ˈaː7 
ghurziwal| ɡ ˈɜː7 z ɪ1 w ələl  
ghém|ɣ ˈɛɜ m
ghét|ɣ ˈɛɜ t̪ 
ghê|ɣ ˈe7
ghế|ɣ ˈeɜ 
ghĩ|ɣ ˈi5
ghập|ɣ ˈə6 p 
ghẻ'|ɣ ˈɛ4 
ghẽ|ɣ ˈɛ5
ghế|ɣ ˈeɜ 
ghếch|ɣ ˈeɜ c
ghết|ɣ ˈeɜ t̪
ghề|ɣ ˈe2
ghềnh|ɣ ˈe2 ɲ
ghểnh|ɣ ˈe4 ɲ
gia|z ˈaː7 
giai|z ˈaː7 j
gian|z ˈaː7 n
giang|z ˈaː7 ŋ 
giang…|z ˈaː7 ŋ 
gianh|z ˈe-7 ɲ
gianluca| dʒ ɐɐ n l ˈuː7 k ə1  
gianni| dʒ ˈaɪ7 ə1 n ii  
giannina| dʒ ɐɐ n ˈɪ7 n ə1  
giannis| dʒ ˈaɪ7 ə1 n ii z  
gian”|z ˈaː7 n 
gian…|z ˈaː7 n 
giao|z ˈaː7 w
giao”|z ˈaː7 w 
giành|z ˈe-2 ɲ 
giá|z ˈaːɜ 
giám|z ˈaːɜ m 
giáo|z ˈaːɜ w 
giải|z ˈaː4 j 
giảm|z ˈaː4 m 
giản|z ˈaː4 n 
giảng|z ˈaː4 ŋ 
gia’|z ˈaː7 
gia”|z ˈaː7 
gia…|z ˈaː7 
gibieza| dʒ ˌɪ1 b ii  ˈɛ7 z ə1  
giblin|z b l ˈi7 n 
gibson|z b s ˈɔ7 n 
gide|z z ˈɛ7
gideon|z z ˈɛ7 w n 
gien|z ˈɛ7 n 
gieo|z ˈɛ7 w 
giethoorn| dʒ ˈaɪə7 θ ɔːɔː n  
gigi|z z 
gil| ɡ ˈɪ7 l  
gilbralta| ɡ ɪ1 l b ɹ ˈa7 l t ə1  
gilet| dʒ ˈɪ7 l ɪ1 t  
gillingham| ɡ ˈɪ7 l ɪ1 ŋ ə1 m  
gimbal| ɡ ˈɪ7 m b ələl  
gimenez| ɡ ˈaɪ7 m n ɛ1 z  
gimpo|z m p ˈɔ7 
gin|z n 
gingerose| dʒ ˈɪ7 n dʒ ə1 ɹ ˌəʊəʊ z  
gion|z ˈɔ7 n
gioong|z ˈɔ7 ŋ
giorgia|z ˈɔ7 z z aː1 
giorla|z ˈɔ7 z l aː1 
giovani| dʒ ɪ1  ə1 v ˈɑː7 n ii  
giovanni| dʒ ə1 v ˈɑː7 n ii  
giòn|z ˈɔ2 n 
giỏi|z ˈɔ4 j 
giọng|z ˈɔ6 ŋ 
gip|z p 
giri|z z ˈi7 
girl| ɡ ˈɜː7 l  
girls| ɡ ˈɜː7 l z  
girls”| ɡ ˈɜː7 l z  
giroud| dʒ ˈaɪ7 ɹ aʊ1 d  
girval| ɡ ˈɜː7 v ələl  
gittens| ɡ ˈɪ7 t ə1 n z  
giua|z ˈu7 aː1
giuntoli|z ˈu7 n t̪ ɔ1 l ˌi1 
giustozzi|z ˈu7 s t̪ ɔ1 z z ˌi1 
giúp|z ˈuɜ p 
give|z v ˈɛ7 
givemesports| ɡ ˈɪ7 v ɪ1 m ˌɛ1 s p ɔːɔː t s  
giza|z z ˈaː7 
già|z ˈaː2
giàn|z ˈaː2 n 
giàu”|z ˈa2 w 
giày”|z ˈa2 j 
già”|z ˈaː2 
già…|z ˈaː2 
giá|z ˈaːɜ
giác|z ˈaːɜ c 
giái|z ˈaːɜ j 
giám|z ˈaːɜ m
giáo|z ˈaːɜ w
giáo”|z ˈaːɜ w 
giá”|z ˈaːɜ 
giá…|z ˈaːɜ 
giây|z ˈəɪ7 
giấm|z ˈəɜ m 
giấu|z ˈəɜ w 
giật|z ˈə6 t̪ 
giãn|z ˈaː5 n 
gièm|z ˈɛ2 m
giê|z ˈe7 
giềng|z ˈiɛ2 ŋ 
giòng|z ˈɔ2 ŋ
giò”|z ˈɔ2 
giò…|z ˈɔ2 
gió|z ˈɔɜ
giói|z ˈɔɜ j
gión|z ˈɔɜ n
gió”|z ˈɔɜ 
gió…|z ˈɔɜ 
giô|z ˈo7 
giông|z ˈo7 ŋ 
giống|z ˈoɜ ŋ 
giõi|z ˈɔ5 j
giúi|z ˈuɜ j
giúm|z ˈuɜ m
giúp|z ˈuɜ p
giơ|z ˈəː7 
giơi|z ˈəː7 j
giờ|z ˈəː2 
giới|z ˈəːɜ j 
giương|z ˈyə7 ŋ
giường|z ˈyə2 ŋ 
giữ|z ˈy5 
giữa|z ˈyə5 
giướng|z ˈyəɜ ŋ
gì|z ˈi2 
giại|z ˈaː6 j
giạm|z ˈaː6 m
giả|z ˈaː4
giải|z ˈaː4 j
giải”|z ˈaː4 j 
giảm|z ˈaː4 m 
giảm”|z ˈaː4 m 
giản|z ˈaː4 n
giả”|z ˈaː4 
giấc”|z ˈəɜ c 
giấp|z ˈəɜ p
giất|z ˈəɜ t̪ 
giấu|z ˈəɜ w
giấy|z ˈəɪɜ
giấy”|z ˈəɪɜ 
giần|z ˈə2 n
giẩu|z ˈə4 w
giẫy|z ˈəɪ5
giậm|z ˈə6 m 
giận|z ˈə6 n
giận”|z ˈə6 n 
giật|z ˈə6 t̪ 
giắt|z ˈaɜ t̪
giằng|z ˈa2 ŋ
giặc|z ˈa6 c 
giặm|z ˈa6 m
giặn|z ˈa6 n
giặng|z ˈa6 ŋ
giẹo|z ˈɛ6 w
giẽ|z ˈɛ5 
giếc|z ˈiɛɜ kh
giếng”|z ˈiɛɜ ŋ 
giết|z ˈiɛɜ t̪ 
giết”|z ˈiɛɜ t̪ 
giềng”|z ˈiɛ2 ŋ 
giễu|z ˈe5 w
giọ|z ˈɔ6
giọc|z ˈɔ6 k
giọng|z ˈɔ6 ŋ
giỏi|z ˈɔ4 j 
giỏi”|z ˈɔ4 j 
giỏn|z ˈɔ4 n
giốc|z ˈoɜ k
giống|z ˈoɜ ŋ 
giống”|z ˈoɜ ŋ 
giỗi|z ˈo5 j
giớ|z ˈəːɜ 
giới|z ˈəːɜ j
giới’|z ˈəːɜ j 
giới”|z ˈəːɜ j 
giới…|z ˈəːɜ j 
giờ|z ˈəː2
giời|z ˈəː2 j
giờ’|z ˈəː2 
giờ”|z ˈəː2 
giở|z ˈəː4
giởi|z ˈəː4 j 
giỡ|z ˈəː5
giụa|z ˈuə6
giục|z ˈu6 c
giủi|z ˈu4 j
giữ|z ˈy5 
giữa”|z ˈyə5 
giữ…|z ˈy5 
giựt|z ˈy6 t̪
giό|ð ˈe7  ˈi1  l ˈe1 t ə1  m ˈo6 t̪  ˈɛɜ p   b ˈaɪ4  tʃ ˈiɜ n  
gl|ð ˌe7 ˈɛ7 l əː2 
glacées|(en) ɡ l a1 s ˈeɪ7 z (vi)
gladkov| ɡ l ˈa7 d k ɒ1 v  
glaser| ɡ l ˈeɪ7 s əə  
glazer| ɡ l ˈeɪ7 z əə  
glazers| ɡ l ˈeɪ7 z əə z  
gleason| ɡ l ˈiː7 z ə1 n  
glencore| ɡ l ˈɒ7 ŋ k ɔːɔː  
glenn| ɡ l ˈɛ7 n  
glikeria| ɡ l aɪ1 k ˈiə7 ɹ ɪ1  ə1  
global| ɡ l ˈəʊəʊ b ələl  
globalgap…| ɡ l ˈəʊəʊ b ɐɐ l ɡ ˌa1 p  
globo| ɡ l ˈəʊəʊ b əʊəʊ  
globosa| ɡ l ə1 b ˈəʊəʊ s ə1  
glory| ɡ l ˈɔːɔː ɹ ii  
glow| ɡ l ˈəʊəʊ  
glucan| ɡ l ˈuː7 k ə1 n  
glucomannan| ɡ l ˈuː7 k ə1 m ˌa1 n ə1 n  
glucose| ɡ l ˈuː7 k əʊəʊ s  
glucoside| ɡ l ˈuː7 k ə1 s ˌaɪ1 d  
glucoza| ɡ l uː1 k ˈəʊəʊ z ə1  
glutamate| ɡ l ˈuː7 t ɐɐ m ˌeɪ1 t  
