&| v ˈɛ
gerçekleştirmesini|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ɪ r m e s i n ˈɪ
gerçekleştirmeye|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ˈɪ r m e j ɛ
gerçekleştirmeyi|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ˈɪ r m e j ɪ
gerçekleştirmezse|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ɪ r m ˈɛ z s ɛ
gerçekleştirmiyor|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ɪ r m ˈi j ɔ r
gerçekleştirmiş|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ɪ r m ˈɪ ʃ
gerçekleştirmişti|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ɪ r m ɪ ʃ t ˈɪ
gerçekleştirmiştir|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ɪ r m ˈɪ ʃ t ɪ r
gerçekleştiği|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i j ˈɪ
gerçekleştiğinde|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i j ɪ n d ˈɛ
gerçekleştiğine|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i j i n ˈɛ
gerçekleştiğini|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i j i n ˈɪ
gerçekleştiğinin|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i j i n ˈɪ n
gerçeklik|ɟ ɛ r tʃ ɛ k l ˈɪ k
gerçeklikle|ɟ ɛ r tʃ ɛ k l ˈɪ k l ɛ
gerçeklikte|ɟ ɛ r tʃ ɛ k l ɪ k t ˈɛ
gerçeklikten|ɟ ɛ r tʃ ɛ k l ɪ k t ˈæ n
gerçekliği|ɟ ɛ r tʃ ɛ k l i j ˈɪ
gerçekliğinden|ɟ ɛ r tʃ ɛ k l i j ɪ n d ˈæ n
gerçekliğiyle|ɟ ɛ r tʃ ɛ k l i j ˈɪ j l ɛ
gerçekmiş|ɟ ɛ r tʃ ɛ k m ˈɪ ʃ
gerçekse|ɟ ɛ r tʃ ˈɛ k s ɛ
gerçekte|ɟ ɛ r tʃ ɛ k t ˈɛ
gerçekten|ɟ ɛ r tʃ ɛ k t ˈæ n
gerçekten”|ɟ ɛ r tʃ ɛ k t ˈæ n
gerçektir|ɟ ɛ r tʃ ˈɛ k t ɪ r
gerçektir…|ɟ ɛ r tʃ ˈɛ k t ɪ r
gerçekçi|ɟ ɛ r tʃ ɛ k tʃ ˈɪ
gerçekçilik|ɟ ɛ r tʃ ɛ k tʃ i l ˈɪ k
gerçek”|ɟ ɛ r tʃ ˈɛ k
gerçeğe|ɟ ɛ r tʃ e j ˈɛ
gerçeği|ɟ ɛ r tʃ e j ˈɪ
gerçeğidir”|ɟ ɛ r tʃ e j ˈi d ɪ r
gerçeğimiz|ɟ ɛ r tʃ ˈe j i m ɪ z
gerçeğin|ɟ ɛ r tʃ e j ˈɪ n
gerçeğini|ɟ ɛ r tʃ e j i n ˈɪ
gerçeğinin|ɟ ɛ r tʃ e j i n ˈɪ n
gerçeğiyle|ɟ ɛ r tʃ e j ˈɪ j l ɛ
gerçi|ɟ ɛ r tʃ ˈɪ
gerçkleştirildiği|ɟ ɛ r tʃ k l ɛ ʃ t i ɾ ɪ l d i j ˈɪ
gestaş|ɟ ɛ s t ˈa ʃ
gestaş’ın|ɟ ɛ s t a ʃ ˈɯ n
ges’ler|ɟ ɛ s l ˈɛ r
get|ɟ ˈɛ t
getilmek|ɟ e t ɪ l m ˈɛ k
getir|ɟ e t ˈɪ r
getir'|ɟ e t ˈɪ r
getirdi|ɟ e t ɪ r d ˈɪ
getirdik|ɟ e t ɪ r d ˈɪ k
getirdikleri|ɟ e t ɪ r d ɪ k l e ɾ ˈɪ
getirdiklerimiz|ɟ e t ɪ r d ɪ k l ˈe ɾ i m ɪ z
getirdiklerini|ɟ e t ɪ r d ɪ k l e ɾ i n ˈɪ
getirdiklerinin|ɟ e t ɪ r d ɪ k l e ɾ i n ˈɪ n
getirdiler|ɟ e t ɪ r d i l ˈɛ r
getirdiler'|ɟ e t ɪ r d i l ˈɛ r
getirdiler…|ɟ e t ɪ r d i l ˈɛ r
getirdim|ɟ e t ɪ r d ˈɪ m
getirdim'|ɟ e t ɪ r d ˈɪ m
getirdim…|ɟ e t ɪ r d ˈɪ m
getirdin|ɟ e t ɪ r d ˈɪ n
getirdiniz|ɟ e t ɪ r d i n ˈɪ z
getirdiyi|ɟ e t ɪ r d i j ˈɪ
getirdiği|ɟ e t ɪ r d i j ˈɪ
getirdiğim|ɟ e t ɪ r d ˈi j ɪ m
getirdiğimiz|ɟ e t ɪ r d ˈi j i m ɪ z
getirdiğimizde|ɟ e t ɪ r d i j ˈi m ɪ z d ɛ
getirdiğine|ɟ e t ɪ r d i j i n ˈɛ
getirdiğini|ɟ e t ɪ r d i j i n ˈɪ
getirdi”|ɟ e t ɪ r d ˈɪ
getirdi…|ɟ e t ɪ r d ˈɪ
getire|ɟ e t i ɾ ˈɛ
getirebilecek|ɟ e t i ɾ e b i l e dʒ ˈɛ k
getirebileceği|ɟ e t i ɾ e b i l e dʒ e j ˈɪ
getirebileceğinin|ɟ e t i ɾ e b i l e dʒ e j i n ˈɪ n
getirebilen|ɟ e t i ɾ e b i l ˈæ n
getirebilir|ɟ e t i ɾ e b i l ˈɪ r
getirebilirdi|ɟ e t i ɾ e b i l ɪ r d ˈɪ
getirebilirim|ɟ e t i ɾ e b i l ˈi ɾ ɪ m
getirebiliriz|ɟ e t i ɾ e b i l ˈi ɾ ɪ z
getirebilirlerse|ɟ e t i ɾ e b i l ɪ r l ˈɛ r s ɛ
getirebiliyor|ɟ e t i ɾ e b i l ˈi j ɔ r
getirebilmek|ɟ e t i ɾ e b ɪ l m ˈɛ k
getirebilmesi|ɟ e t i ɾ e b ɪ l m e s ˈɪ
getirecek|ɟ e t i ɾ e dʒ ˈɛ k
getirecekler|ɟ e t i ɾ e dʒ ɛ k l ˈɛ r
getirecekleri|ɟ e t i ɾ e dʒ ɛ k l e ɾ ˈɪ
getireceklerini|ɟ e t i ɾ e dʒ ɛ k l e ɾ i n ˈɪ
getireceksin|ɟ e t i ɾ e dʒ ɛ k s ˈɪ n
getirecekti|ɟ e t i ɾ e dʒ ɛ k t ˈɪ
getirecektir|ɟ e t i ɾ e dʒ ˈɛ k t ɪ r
getireceği|ɟ e t i ɾ e dʒ e j ˈɪ
getireceğim|ɟ e t i ɾ e dʒ ˈe j ɪ m
getireceğim'|ɟ e t i ɾ e dʒ ˈe j ɪ m
getireceğim”|ɟ e t i ɾ e dʒ ˈe j ɪ m
getireceğine|ɟ e t i ɾ e dʒ e j i n ˈɛ
getireceğini|ɟ e t i ɾ e dʒ e j i n ˈɪ
getireceğiz|ɟ e t i ɾ e dʒ ˈe j ɪ z
getireceğiz”|ɟ e t i ɾ e dʒ ˈe j ɪ z
getirelim|ɟ e t i ɾ e l ˈɪ m
getiremediği|ɟ e t i ɾ e m e d i j ˈɪ
getirememekten|ɟ e t i ɾ e m e m ɛ k t ˈæ n
getiremememiz|ɟ e t i ɾ e m e m ˈe m ɪ z
getiremesek|ɟ e t i ɾ ˈe m e s ɛ k
getiremeyeceğinize|ɟ e t i ɾ e m e j e dʒ ˈe j i n i z ɛ
getiremeyen|ɟ e t i ɾ e m e j ˈæ n
getiremeyiz'|ɟ e t i ɾ ˈe m e j ɪ z
getiremez|ɟ e t i ɾ e m ˈɛ z
getiremezdi|ɟ e t i ɾ e m ɛ z d ˈɪ
getiremezsek|ɟ e t i ɾ e m ˈɛ z s ɛ k
getiremezsiniz|ɟ e t i ɾ e m ˈɛ z s i n ɪ z
getiremezsiniz'|ɟ e t i ɾ e m ˈɛ z s i n ɪ z
getiremiyor|ɟ e t i ɾ e m ˈi j ɔ r
getiren|ɟ e t i ɾ ˈæ n
getirenle|ɟ e t i ɾ ˈæ n l ɛ
getirenler|ɟ e t i ɾ æ n l ˈɛ r
getirenlerin|ɟ e t i ɾ æ n l e ɾ ˈɪ n
getirerek|ɟ e t i ɾ e ɾ ˈɛ k
getireyim|ɟ e t i ɾ e j ˈɪ m
getireyim’|ɟ e t i ɾ e j ˈɪ m
getiri|ɟ e t i ɾ ˈɪ
getirici|ɟ e t i ɾ i dʒ ˈɪ
getirildi|ɟ e t i ɾ ɪ l d ˈɪ
getirildikten|ɟ e t i ɾ ɪ l d ɪ k t ˈæ n
getirildiler|ɟ e t i ɾ ɪ l d i l ˈɛ r
getirildiği|ɟ e t i ɾ ɪ l d i j ˈɪ
getirildiğini|ɟ e t i ɾ ɪ l d i j i n ˈɪ
getirilebileceği|ɟ e t i ɾ i l e b i l e dʒ e j ˈɪ
getirilebilir|ɟ e t i ɾ i l e b i l ˈɪ r
getirilebilmesine|ɟ e t i ɾ i l e b ɪ l m e s i n ˈɛ
getirilecek|ɟ e t i ɾ i l e dʒ ˈɛ k
getirilecektir|ɟ e t i ɾ i l e dʒ ˈɛ k t ɪ r
getirileceği|ɟ e t i ɾ i l e dʒ e j ˈɪ
getirileceğini|ɟ e t i ɾ i l e dʒ e j i n ˈɪ
getirilen|ɟ e t i ɾ i l ˈæ n
getiriler|ɟ e t i ɾ i l ˈɛ r
getirilerek|ɟ e t i ɾ i l e ɾ ˈɛ k
getirileri|ɟ e t i ɾ i l e ɾ ˈɪ
getirilerini|ɟ e t i ɾ i l e ɾ i n ˈɪ
getirilip|ɟ e t i ɾ i l ˈɪ p
getirilir|ɟ e t i ɾ i l ˈɪ r
getirilirken|ɟ e t i ɾ i l ˈɪ r c æ n
getirilirse|ɟ e t i ɾ i l ˈɪ r s ɛ
getiriliyor|ɟ e t i ɾ i l ˈi j ɔ r
getiriliyordu|ɟ e t i ɾ i l ˈi j ɔ r d ʊ
getiriliyorsa|ɟ e t i ɾ i l ˈi j ɔ r s a
getirilme|ɟ e t i ɾ ˈɪ l m ɛ
getirilmediği|ɟ e t i ɾ ɪ l m e d i j ˈɪ
getirilmediğinden|ɟ e t i ɾ ɪ l m e d i j ɪ n d ˈæ n
getirilmediğini|ɟ e t i ɾ ɪ l m e d i j i n ˈɪ
getirilmek|ɟ e t i ɾ ɪ l m ˈɛ k
getirilmektedir|ɟ e t i ɾ ɪ l m ɛ k t ˈe d ɪ r
getirilmeli|ɟ e t i ɾ ˈɪ l m e l ɪ
getirilmemektedir|ɟ e t i ɾ ɪ l m e m ɛ k t ˈe d ɪ r
getirilmemesi|ɟ e t i ɾ ɪ l m e m e s ˈɪ
getirilmemiş|ɟ e t i ɾ ɪ l m e m ˈɪ ʃ
getirilmese|ɟ e t i ɾ ˈɪ l m e s ɛ
getirilmesi|ɟ e t i ɾ ɪ l m e s ˈɪ
getirilmesinden|ɟ e t i ɾ ɪ l m e s ɪ n d ˈæ n
getirilmesine|ɟ e t i ɾ ɪ l m e s i n ˈɛ
getirilmesini|ɟ e t i ɾ ɪ l m e s i n ˈɪ
getirilmesinin|ɟ e t i ɾ ɪ l m e s i n ˈɪ n
getirilmeye|ɟ e t i ɾ ˈɪ l m e j ɛ
getirilmeyecek|ɟ e t i ɾ ˈɪ l m e j e dʒ ɛ k
getirilmeyeceğini|ɟ e t i ɾ ɪ l m e j e dʒ e j i n ˈɪ
getirilmeyen|ɟ e t i ɾ ɪ l m e j ˈæ n
getirilmez|ɟ e t i ɾ ɪ l m ˈɛ z
getirilmiyor|ɟ e t i ɾ ɪ l m ˈi j ɔ r
getirilmiş|ɟ e t i ɾ ɪ l m ˈɪ ʃ
getirilmişti|ɟ e t i ɾ ɪ l m ɪ ʃ t ˈɪ
getirilmiştir|ɟ e t i ɾ ɪ l m ˈɪ ʃ t ɪ r
getirin|ɟ e t i ɾ ˈɪ n
getirince|ɟ e t i ɾ ˈɪ n dʒ ɛ
getiriniz|ɟ e t ˈi ɾ i n ɪ z
getirin”|ɟ e t i ɾ ˈɪ n
getirip|ɟ e t i ɾ ˈɪ p
getirir|ɟ e t i ɾ ˈɪ r
getirirdi|ɟ e t i ɾ ɪ r d ˈɪ
getiririm|ɟ e t i ɾ ˈi ɾ ɪ m
getiririz|ɟ e t i ɾ ˈi ɾ ɪ z
getirirken|ɟ e t i ɾ ˈɪ r c æ n
getirirler|ɟ e t i ɾ ɪ r l ˈɛ r
getirirlerse|ɟ e t i ɾ ɪ r l ˈɛ r s ɛ
getirirseniz|ɟ e t i ɾ ˈɪ r s e n ɪ z
getirirsiniz|ɟ e t i ɾ ˈɪ r s i n ɪ z
getirirsiniz'|ɟ e t i ɾ ˈɪ r s i n ɪ z
getirir…|ɟ e t i ɾ ˈɪ r
getirisi|ɟ e t i ɾ i s ˈɪ
getiriyor|ɟ e t i ɾ ˈi j ɔ r
getiriyordu|ɟ e t i ɾ ˈi j ɔ r d ʊ
getiriyorduk|ɟ e t i ɾ ˈi j ɔ r d ʊ k
getiriyordu…|ɟ e t i ɾ ˈi j ɔ r d ʊ
getiriyorlar|ɟ e t i ɾ ˈi j ɔ r ɫ a r
getiriyorlarsa|ɟ e t i ɾ i j ɔ r ɫ ˈa r s a
getiriyorsun|ɟ e t i ɾ i j ɔ r s ˈʊ n
getiriyorsunuz|ɟ e t i ɾ ˈi j ɔ r s u n ʊ z
getiriyorum|ɟ e t i ɾ ˈi j o ɾ ʊ m
getiriyoruz|ɟ e t i ɾ ˈi j o ɾ ʊ z
getirişi|ɟ e t i ɾ i ʃ ˈɪ
getirme|ɟ e t ˈɪ r m ɛ
getirmedi|ɟ e t ˈɪ r m e d ɪ
getirmediklerinde|ɟ e t ɪ r m e d ɪ k l e ɾ ɪ n d ˈɛ
getirmediler|ɟ e t ˈɪ r m e d i l ɛ r
getirmediyse|ɟ e t ɪ r m e d ˈɪ j s ɛ
getirmediği|ɟ e t ɪ r m e d i j ˈɪ
getirmediği'|ɟ e t ɪ r m e d i j ˈɪ
getirmediğimiz|ɟ e t ɪ r m e d ˈi j i m ɪ z
getirmediğini|ɟ e t ɪ r m e d i j i n ˈɪ
getirmek|ɟ e t ɪ r m ˈɛ k
getirmekte|ɟ e t ɪ r m ɛ k t ˈɛ
getirmektedir|ɟ e t ɪ r m ɛ k t ˈe d ɪ r
getirmektedirler|ɟ e t ɪ r m ɛ k t ˈe d ɪ r l ɛ r
getirmekten|ɟ e t ɪ r m ɛ k t ˈæ n
getirmektir|ɟ e t ɪ r m ˈɛ k t ɪ r
getirmeleri|ɟ e t ɪ r m e l e ɾ ˈɪ
getirmeli|ɟ e t ˈɪ r m e l ɪ
getirmeliyiz|ɟ e t ɪ r m e l ˈi j ɪ z
getirmemesidir|ɟ e t ɪ r m e m e s ˈi d ɪ r
getirmemiz|ɟ e t ɪ r m ˈe m ɪ z
getirmemiş|ɟ e t ɪ r m e m ˈɪ ʃ
getirmemiştir|ɟ e t ɪ r m e m ˈɪ ʃ t ɪ r
getirmenin|ɟ e t ˈɪ r m e n ɪ n
getirmenin”|ɟ e t ˈɪ r m e n ɪ n
getirmeseler|ɟ e t ɪ r m ˈe s e l ɛ r
getirmesi|ɟ e t ɪ r m e s ˈɪ
getirmesinden|ɟ e t ɪ r m e s ɪ n d ˈæ n
getirmesine|ɟ e t ɪ r m e s i n ˈɛ
getirmesini|ɟ e t ɪ r m e s i n ˈɪ
getirmesinin|ɟ e t ɪ r m e s i n ˈɪ n
getirmeye|ɟ e t ˈɪ r m e j ɛ
getirmeyebilir|ɟ e t ɪ r m e j e b i l ˈɪ r
getirmeyecek|ɟ e t ˈɪ r m e j e dʒ ɛ k
getirmeyeceklerini|ɟ e t ɪ r m e j e dʒ ɛ k l e ɾ i n ˈɪ
getirmeyecektir|ɟ e t ɪ r m e j e dʒ ˈɛ k t ɪ r
getirmeyeceği|ɟ e t ɪ r m e j e dʒ e j ˈɪ
getirmeyenler|ɟ e t ɪ r m e j æ n l ˈɛ r
getirmeyi|ɟ e t ˈɪ r m e j ɪ
getirmez|ɟ e t ɪ r m ˈɛ z
getirmezdim|ɟ e t ɪ r m ɛ z d ˈɪ m
getirmezlerse|ɟ e t ɪ r m ɛ z l ˈɛ r s ɛ
getirmezse|ɟ e t ɪ r m ˈɛ z s ɛ
getirmeğe|ɟ e t ɪ r m e j ˈɛ
getirmiyorsa|ɟ e t ɪ r m ˈi j ɔ r s a
getirmiş|ɟ e t ɪ r m ˈɪ ʃ
getirmişler|ɟ e t ɪ r m ɪ ʃ l ˈɛ r
getirmişlerdi|ɟ e t ɪ r m ɪ ʃ l ɛ r d ˈɪ
getirmişlerdir|ɟ e t ɪ r m ɪ ʃ l ˈɛ r d ɪ r
getirmişsiniz|ɟ e t ɪ r m ˈɪ ʃ s i n ɪ z
getirmişti|ɟ e t ɪ r m ɪ ʃ t ˈɪ
getirmiştir|ɟ e t ɪ r m ˈɪ ʃ t ɪ r
getirse|ɟ e t ˈɪ r s ɛ
getirsen|ɟ e t ˈɪ r s æ n
getirseydim|ɟ e t ɪ r s ɛ j d ˈɪ m
getirsin|ɟ e t ɪ r s ˈɪ n
getirsin”|ɟ e t ɪ r s ˈɪ n
getirtebildik|ɟ e t ɪ r t e b ɪ l d ˈɪ k
getirten|ɟ e t ɪ r t ˈæ n
getirtirim|ɟ e t ɪ r t ˈi ɾ ɪ m
getirtmeye|ɟ e t ˈɪ r t m e j ɛ
getirtmiş|ɟ e t ɪ r t m ˈɪ ʃ
getirtti|ɟ e t ɪ r tː ˈɪ
getirttim|ɟ e t ˈɪ r tː ɪ m
getirttiriyorlar|ɟ e t ɪ r tː i ɾ ˈi j ɔ r ɫ a r
getir’|ɟ e t ˈɪ r
getir’in|ɟ e t i ɾ ˈɪ n
gettolarını|ɟ e tː o ɫ a ɾ ɯ n ˈɯ
gettolarının|ɟ e tː o ɫ a ɾ ɯ n ˈɯ n
geveliyor|ɟ e v e l ˈi j ɔ r
gever'|ɟ e v ˈɛ r
gevezeliği|ɟ e v e z e l i j ˈɪ
gevher|ɟ ɛ v h ˈɛ r
gevrek|ɟ ɛ v r ˈɛ k
gevşek|ɟ ɛ v ʃ ˈɛ k
gevşeme|ɟ ɛ v ʃ ˈe m ɛ
gevşemelere|ɟ ɛ v ʃ e m e l e ɾ ˈɛ
gevşemenin|ɟ ɛ v ʃ ˈe m e n ɪ n
gevşemeye|ɟ ɛ v ʃ ˈe m e j ɛ
gevşetebiliyor|ɟ ɛ v ʃ e t e b i l ˈi j ɔ r
gevşetilir|ɟ ɛ v ʃ e t i l ˈɪ r
gevşetilmemesi|ɟ ɛ v ʃ e t ɪ l m e m e s ˈɪ
gevşetilmesi|ɟ ɛ v ʃ e t ɪ l m e s ˈɪ
gevşetmenin|ɟ ɛ v ʃ ˈɛ t m e n ɪ n
gevşetmeyi|ɟ ɛ v ʃ ˈɛ t m e j ɪ
gevşettiğini|ɟ ɛ v ʃ e tː i j i n ˈɪ
gevşeyin|ɟ ɛ v ʃ e j ˈɪ n
gewessler|ɟ e w ɛ s s l ˈɛ r
gey|ɟ ˈɛ j
geyhatu|ɟ ɛ j h a t ˈʊ
geyhatu’ya|ɟ ɛ j h a t u j ˈa
geyik|ɟ e j ˈɪ k
geyik'i|ɟ e j i k ˈɪ
geyik'in|ɟ e j i k ˈɪ n
geyikler|ɟ e j ɪ k l ˈɛ r
geyikli|ɟ e j ɪ k l ˈɪ
geyiyon|ɟ e j i j ˈɔ n
geylani|ɟ ɛ j ɫ a n ˈɪ
gez|ɟ ˈɛ z
gezdi|ɟ ɛ z d ˈɪ
gezdik|ɟ ɛ z d ˈɪ k
gezdikten|ɟ ɛ z d ɪ k t ˈæ n
gezdim|ɟ ɛ z d ˈɪ m
gezdirdi|ɟ ˈɛ z d ɪ r d ɪ
gezdirdim|ɟ ˈɛ z d ɪ r d ɪ m
gezdirdiği|ɟ ɛ z d ɪ r d i j ˈɪ
gezdireceğim|ɟ ɛ z d i ɾ e dʒ ˈe j ɪ m
gezdiren|ɟ ɛ z d i ɾ ˈæ n
gezdirerek|ɟ ɛ z d i ɾ e ɾ ˈɛ k
gezdireyim|ɟ ˈɛ z d i ɾ e j ɪ m
gezdirildi|ɟ ɛ z d i ɾ ɪ l d ˈɪ
gezdirileceğini|ɟ ɛ z d i ɾ i l e dʒ e j i n ˈɪ
gezdirin|ɟ ˈɛ z d i ɾ ɪ n
gezdiriyordum|ɟ ɛ z d i ɾ ˈi j ɔ r d ʊ m
gezdirmek|ɟ ɛ z d ɪ r m ˈɛ k
gezdiği|ɟ ɛ z d i j ˈɪ
gezdiğim|ɟ ɛ z d ˈi j ɪ m
gezdiğini|ɟ ɛ z d i j i n ˈɪ
gezeceksin|ɟ e z e dʒ ɛ k s ˈɪ n
gezeceğiz|ɟ e z e dʒ ˈe j ɪ z
gezegen|ɟ e z e ɟ ˈæ n
gezegende|ɟ e z e ɟ æ n d ˈɛ
gezegendeki|ɟ e z e ɟ æ n d e k ˈɪ
gezegenden|ɟ e z e ɟ æ n d ˈæ n
gezegene|ɟ e z e ɟ e n ˈɛ
gezegeni|ɟ e z e ɟ e n ˈɪ
gezegenimizde|ɟ e z e ɟ e n ˈi m ɪ z d ɛ
gezegenimizin|ɟ e z e ɟ e n ˈi m i z ɪ n
gezegenin|ɟ e z e ɟ e n ˈɪ n
gezegenler|ɟ e z e ɟ æ n l ˈɛ r
gezegenlerden|ɟ e z e ɟ æ n l ɛ r d ˈæ n
gezegenleri|ɟ e z e ɟ æ n l e ɾ ˈɪ
gezen|ɟ e z ˈæ n
gezer|ɟ e z ˈɛ r
gezerek|ɟ e z e ɾ ˈɛ k
gezerken|ɟ e z ˈɛ r c æ n
gezerseniz|ɟ e z ˈɛ r s e n ɪ z
gezeyim|ɟ e z e j ˈɪ m
gezgin|ɟ ɛ z ɡ ˈɪ n
gezginci|ɟ ɛ z ɟ ɪ n dʒ ˈɪ
gezi|ɟ e z ˈɪ
gezici|ɟ e z i dʒ ˈɪ
geziciyi|ɟ e z i dʒ i j ˈɪ
gezide|ɟ e z i d ˈɛ
gezildi|ɟ e z ɪ l d ˈɪ
gezilebilecek|ɟ e z i l e b i l e dʒ ˈɛ k
gezilecek|ɟ e z i l e dʒ ˈɛ k
gezilen|ɟ e z i l ˈæ n
geziler|ɟ e z i l ˈɛ r
gezileri|ɟ e z i l e ɾ ˈɪ
gezilerin|ɟ e z i l e ɾ ˈɪ n
gezilerinde|ɟ e z i l e ɾ ɪ n d ˈɛ
gezilmesi|ɟ e z ɪ l m e s ˈɪ
gezilmesinin|ɟ e z ɪ l m e s i n ˈɪ n
gezinecek|ɟ e z i n e dʒ ˈɛ k
gezinen|ɟ e z i n ˈæ n
gezinin|ɟ e z i n ˈɪ n
gezinmek|ɟ e z ɪ n m ˈɛ k
gezinmeyi|ɟ e z ˈɪ n m e j ɪ
gezinti|ɟ e z ɪ n t ˈɪ
gezintisi|ɟ e z ɪ n t i s ˈɪ
gezip|ɟ e z ˈɪ p
gezisi|ɟ e z i s ˈɪ
gezisinde|ɟ e z i s ɪ n d ˈɛ
gezisine|ɟ e z i s i n ˈɛ
gezisinin|ɟ e z i s i n ˈɪ n
geziye|ɟ e z i j ˈɛ
geziyi|ɟ e z i j ˈɪ
geziyor|ɟ e z ˈi j ɔ r
geziyordu|ɟ e z ˈi j ɔ r d ʊ
geziyorduk|ɟ e z ˈi j ɔ r d ʊ k
geziyordum|ɟ e z ˈi j ɔ r d ʊ m
geziyorlar|ɟ e z ˈi j ɔ r ɫ a r
geziyorsanız|ɟ e z ˈi j ɔ r s a n ɯ z
geziyorum|ɟ e z ˈi j o ɾ ʊ m
geziyoruz|ɟ e z ˈi j o ɾ ʊ z
gezi’deki|ɟ e z i d e k ˈɪ
gezi’nin|ɟ e z i n ˈɪ n
gezi’si|ɟ e z i s ˈɪ
gezme|ɟ ˈɛ z m ɛ
gezmediğim|ɟ ɛ z m e d ˈi j ɪ m
gezmek|ɟ ɛ z m ˈɛ k
gezmekten|ɟ ɛ z m ɛ k t ˈæ n
gezmemiz|ɟ ɛ z m ˈe m ɪ z
gezmen|ɟ ɛ z m ˈæ n
gezmenin|ɟ ˈɛ z m e n ɪ n
gezmeseydin|ɟ ɛ z m e s ɛ j d ˈɪ n
gezmesi|ɟ ɛ z m e s ˈɪ
gezmeye|ɟ ˈɛ z m e j ɛ
gezmeyi|ɟ ˈɛ z m e j ɪ
gezmiş|ɟ ɛ z m ˈɪ ʃ
gezsin|ɟ ɛ z s ˈɪ n
geç|ɟ ˈɛ tʃ
geçe|ɟ ˈe tʃ ɛ
geçebildik|ɟ e tʃ e b ɪ l d ˈɪ k
geçebilecek|ɟ e tʃ e b i l e dʒ ˈɛ k
geçebileceği|ɟ e tʃ e b i l e dʒ e j ˈɪ
geçebilir|ɟ e tʃ e b i l ˈɪ r
geçebilirdi”|ɟ e tʃ e b i l ɪ r d ˈɪ
geçebilirsiniz|ɟ e tʃ e b i l ˈɪ r s i n ɪ z
geçebilmek|ɟ e tʃ e b ɪ l m ˈɛ k
geçebilmeniz|ɟ e tʃ e b ɪ l m ˈe n ɪ z
geçecek|ɟ e tʃ e dʒ ˈɛ k
geçecek''|ɟ e tʃ e dʒ ˈɛ k
geçeceklerine|ɟ e tʃ e dʒ ɛ k l e ɾ i n ˈɛ
geçecektir|ɟ e tʃ e dʒ ˈɛ k t ɪ r
geçeceği|ɟ e tʃ e dʒ e j ˈɪ
geçeceğimi|ɟ e tʃ e dʒ ˈe j i m ɪ
geçeceğimiz|ɟ e tʃ e dʒ ˈe j i m ɪ z
geçeceğimizi|ɟ e tʃ e dʒ e j ˈi m i z ɪ
geçeceğim’|ɟ e tʃ e dʒ ˈe j ɪ m
geçeceğini|ɟ e tʃ e dʒ e j i n ˈɪ
geçeceğinin|ɟ e tʃ e dʒ e j i n ˈɪ n
geçeceğiz|ɟ e tʃ e dʒ ˈe j ɪ z
geçelim|ɟ e tʃ e l ˈɪ m
geçemedi|ɟ e tʃ ˈe m e d ɪ
geçemedim|ɟ e tʃ ˈe m e d ɪ m
geçemediği|ɟ e tʃ e m e d i j ˈɪ
geçemeyecek|ɟ e tʃ ˈe m e j e dʒ ɛ k
geçemeyeceğim|ɟ e tʃ e m e j e dʒ ˈe j ɪ m
geçemeyen|ɟ e tʃ e m e j ˈæ n
geçemez|ɟ e tʃ e m ˈɛ z
geçemezler|ɟ e tʃ e m ɛ z l ˈɛ r
geçen|ɟ e tʃ ˈæ n
geçende|ɟ e tʃ æ n d ˈɛ
geçene|ɟ e tʃ e n ˈɛ
geçeni|ɟ e tʃ e n ˈɪ
geçenler|ɟ e tʃ æ n l ˈɛ r
geçenlerde|ɟ e tʃ æ n l ɛ r d ˈɛ
geçenlerden|ɟ e tʃ æ n l ɛ r d ˈæ n
geçenlere|ɟ e tʃ æ n l e ɾ ˈɛ
geçenleri|ɟ e tʃ æ n l e ɾ ˈɪ
geçenlerin|ɟ e tʃ æ n l e ɾ ˈɪ n
geçen“elkalem”kelimesinden|ɟ e tʃ ˈæ n   æ l k a l ˈæ m   k e l i m e s ɪ n d ˈæ n
geçer|ɟ e tʃ ˈɛ r
geçerdi|ɟ e tʃ ɛ r d ˈɪ
geçerdim|ɟ e tʃ ɛ r d ˈɪ m
geçerek|ɟ e tʃ e ɾ ˈɛ k
geçerim|ɟ e tʃ ˈe ɾ ɪ m
geçeriz|ɟ e tʃ ˈe ɾ ɪ z
geçerken|ɟ e tʃ ˈɛ r c æ n
geçerler|ɟ e tʃ ɛ r l ˈɛ r
geçerlerken|ɟ e tʃ ɛ r l ˈɛ r c æ n
geçerlerse|ɟ e tʃ ɛ r l ˈɛ r s ɛ
geçerli|ɟ e tʃ ɛ r l ˈɪ
geçerlidir|ɟ e tʃ ɛ r l ˈi d ɪ r
geçerlilik|ɟ e tʃ ɛ r l i l ˈɪ k
