&| ˈɔ k
avsett|ˈɑː v s ə t
avsevärd|ˈɑː v s ə v ˌɛː r d
avsevärda|ˈɑː v s ə v ˌɛː r d a
avsevärt|ˈɑː v s ə v ˌɛ t
avsikt|ˈɑː v s ɪ k t
avsikten|ˈɑː v s ɪ k t ə n
avsikter|ˈɑː v s ɪ k t ə r
avsiktligen|ˈɑː v s ɪ k t l ˌɪ ɡ ə n
avsiktligt|ˈɑː v s ɪ k t l ˌɪ k t
avskaffad|ˈɑː v s k a f ˌa d
avskaffades|ˈɑː v s k a f ˌa d ə s
avskaffas|ˈɑː v s k a f ˌa s
avskaffat|ˈɑː v s k a f ˌa t
avskaffats|ˈɑː v s k a f ˌa t s
avskalat|ˈɑː v s k a l ˌa t
avsked|ˈɑː v sx ə d
avskedad|ˈɑː v sx ə d ˌa d
avskedades|ˈɑː v sx ə d ˌa d ə s
avskedandet|ˈɑː v sx ə d ˌa n d ə t
avskedas|ˈɑː v sx ə d ˌa s
avskedat|ˈɑː v sx ə d ˌa t
avskedats|ˈɑː v sx ə d ˌa t s
avskedet|ˈɑː v sx ə d ə t
avskedsansökan|ˈɑː v sx ə d s ˌa n s øː k ˌa n
avskedsbrev|ˈɑː v sx ə d s b r ˌeː v
avskedsmottagning|ˌɑː v sx ə d s m ˈuː tː ɑː ŋ n ˌɪ ŋ
avskedsparty|ˈɑː v sx ə d s p ˌa t yː
avskedsturné|ˌɑː v sx ə d s t ɵ r n ˈeː
avskedsturnén|ˌɑː v sx ə d s t ɵ r n ˈeː n
avsked”|ˈɑː v sx ə d
avskildhet|ˈɑː v sx ɪ l d h ˌeː t
avskrevs|ˈɑː v s k r ə v s
avskriver|ˈɑː v s k r iː v ə r
avskrivit|ˈɑː v s k r iː v ˌiː t
avskräckas|ˈɑː v s k r ə kː ˌa s
avskräcker|ˈɑː v s k r ə kː ə r
avskräckningen|ˈɑː v s k r ə k n ˌɪ ŋ ə n
avskräckningspotential|ˈɑː v s k r ə k n ˌɪ ŋ s p uː t ˌɛ n t iː  ˌa l
avskurna|ˈɑː v s k ɵ r n ˌa
avskydd|ˈɑː v sx y d
avskydda|ˈɑː v sx y d ˌa
avskydde|ˈɑː v sx y d ə
avskyddes|ˈɑː v sx y d ə s
avskytt|ˈɑː v sx y t
avskyvärda|ˈɑː v sx yː v ˌɛː r d a
avskärmad|ɑː v sx ˈɛ r m a d
avskärmades|ɑː v sx ˈɛ r m a d ə s
avslappnad|ˈɑː v s l a p n ˌa d
avslappnande|ˈɑː v s l a p n ˌa n d ə
avslappnat|ˈɑː v s l a p n ˌa t
avslappningen|ˈɑː v s l a p n ˌɪ ŋ ə n
avslog|ɑː v s l ˈuː ɡ
avslut|ˈɑː v s l ʉ t
avsluta|ˈɑː v s l ʉ t ˌa
avslutad|ˈɑː v s l ʉ t ˌa d
avslutade|ˈɑː v s l ʉ t ˌa d ə
avslutades|ˈɑː v s l ʉ t ˌa d ə s
avslutande|ˈɑː v s l ʉ t ˌa n d ə
avslutas|ˈɑː v s l ʉ t ˌa s
avslutat|ˈɑː v s l ʉ t ˌa t
avslutats|ˈɑː v s l ʉ t ˌa t s
avsluten|ˈɑː v s l ʉ t ə n
avslutet|ˈɑː v s l ʉ t ə t
avslutningarna|ˈɑː v s l ʉ t n ˌɪ ŋ a r n ˌa
avslutningen|ˈɑː v s l ʉ t n ˌɪ ŋ ə n
avslutningsceremoni|ˌɑː v s l ʉ t n ˌɪ ŋ s s eː r ə m ˈoː n iː
avslutningsdagen|ˈɑː v s l ʉ t n ˌɪ ŋ s d ɑː ɡ ˌɛ n
avslutningsfest|ˈɑː v s l ʉ t n ˌɪ ŋ s f ə s t
avslutningsord|ˌɑː v s l ʉ t n ɪ ŋ s ˈɔ r d
avslutningstal|ˌɑː v s l ʉ t n ɪ ŋ s t ˈɑː l
avslutningsvis|ˈɑː v s l ʉ t n ˌɪ ŋ s v iː s
avslutsfasen|ˈɑː v s l ʉ t s f ˌa s ə n
avslå|ˈɑː v s l oː
avslöja|ˈɑː v s l øː j ˌa
avslöjade|ˈɑː v s l øː j ˌa d ə
avslöjades|ˈɑː v s l øː j ˌa d ə s
avslöjande|ˈɑː v s l øː j ˌa n d ə
avslöjanden|ˈɑː v s l øː j ˌa n d ə n
avslöjandet|ˈɑː v s l øː j ˌa n d ə t
avslöjas|ˈɑː v s l øː j ˌa s
avslöjat|ˈɑː v s l øː j ˌa t
avslöjats|ˈɑː v s l øː j ˌa t s
avsmältningen|ˈɑː v s m ə l t n ˌɪ ŋ ə n
avsnitt|ˈɑː v s n ɪ t
avsnitten|ˈɑː v s n ɪ tː ə n
avsnittet|ˈɑː v s n ɪ t ə t
avspark|ˈɑː v s p a r k
avsparkstid|ˈɑː v s p a r k s t ˌiː d
avsparkstider|ˈɑː v s p a r k s t ˌiː d ə r
avspeglas|ˈɑː v s p eː ɡ l ˌa s
avspeglat|ˈɑː v s p eː ɡ l ˌa t
avspeglats|ˈɑː v s p eː ɡ l ˌa t s
avspegling|ˈɑː v s p ə ɡ l ˌɪ ŋ
avspisningen|ˈɑː v s p ɪ s n ˌɪ ŋ ə n
avspänt|ˈɑː v s p ə n t
avspärrad|ˈɑː v s p ə r ˌa d
avspärrade|ˈɑː v s p ə r ˌa d ə
avspärrat|ˈɑː v s p ə r ˌɑː t
avspärrning|ˈɑː v s p ə r n ˌɪ ŋ
avspärrningar|ˈɑː v s p ə r n ˌɪ ŋ a r
avspärrningarna|ˈɑː v s p ə r n ˌɪ ŋ a r n ˌa
avspärrningen|ˈɑː v s p ə r n ˌɪ ŋ ə n
avstalinisering|ˈɑː v s t a l ˌiː n iː s ˌeː r ɪ ŋ
avstanna|ˈɑː v s t a n ˌa
avstannat|ˈɑː v s t a n ˌa t
avsteg|ˈɑː v s t ə ɡ
avstod|ˈɑː v s t uː d
avstyrde|ˈɑː v s t y r d ə
avstyrker|ˈɑː v s t y r k ə r
avställd|ˈɑː v s t ə l d
avstämning|ˈɑː v s t ə m n ˌɪ ŋ
avstängd|ˈɑː v s t ə ŋ d
avstängda|ˈɑː v s t ə ŋ d ˌa
avstängde|ˈɑː v s t ə ŋ d ə
avstängd”|ˈɑː v s t ə ŋ d
avstängning|ˈɑː v s t ə ŋ n ˌɪ ŋ
avstängningen|ˈɑː v s t ə ŋ n ˌɪ ŋ ə n
avstängt|ˈɑː v s t ə ŋ t
avstånd|ˈɑː v s t oː n d
avstånden|ˈɑː v s t oː n d ə n
avstånden”|ˈɑː v s t oː n d ə n
avståndet|ˈɑː v s t oː n d ə t
avståndsskyltarna|ˈɑː v s t oː n d s k ˌy l t a r n ˌa
avståndstagande|ˈɑː v s t oː n d s t ˌɑː ɡ a n d ə
avstånd”|ˈɑː v s t oː n d
avstår|ˈɑː v s t oː r
avstått|ˈɑː v s t ɔ t
avsugning|ˈɑː v s ɵ ŋ n ˌɪ ŋ
avsäger|ˈɑː v s ə j ə r
avsänd|ˈɑː v s ə n d
avsändaren|ˈɑː v s ə n d ˌa r ə n
avsändareuppgifter|ˈɑː v s ə n d ˌa r ə ˌɵ p j ɪ f t ə r
avsändarkontot|ˈɑː v s ə n d ˌa r k ɔ n t ˌuː t
avsätts|ˈɑː v s ə t s
avsåg|ˈɑː v s oː ɡ
avtackades|ˈɑː v t ɑː kː ˌa d ə s
avtackning|ˈɑː v t ɑː k n ˌɪ ŋ
avtagit|ˈɑː v t ɑː ɡ ˌiː t
avtal|ˈɑː v t ɑː l
avtalad|ˈɑː v t ɑː l ˌa d
avtalade|ˈɑː v t ɑː l ˌa d ə
avtalades|ˈɑː v t ɑː l ˌa d ə s
avtalat|ˈɑː v t ɑː l ˌa t
avtalen|ˈɑː v t ɑː l ə n
avtalens|ˈɑː v t ɑː l ə n s
avtalet|ˈɑː v t ɑː l ə t
avtalets|ˈɑː v t ɑː l ˌɛ t s
avtalsbiten|ˈɑː v t ɑː l s b ˌiː t ə n
avtalsbrott|ˈɑː v t ɑː l s b r ˌɔ t
avtalsenlig|ˈɑː v t ɑː l s ˌeː n l ɪ ɡ
avtalsförhandlingar|ˌɑː v t ɑː l s f ˈœ r h a n d l ˌɪ ŋ a r
avtalsförhandlingarna|ˌɑː v t ɑː l s f ˈœ r h a n d l ˌɪ ŋ a r n ˌa
avtalslagen|ˈɑː v t ɑː l s l ˌɑː ɡ ə n
avtalslagens|ˈɑː v t ɑː l s l ˌɑː ɡ ə n s
avtalsperspektiv|ˈɑː v t ɑː l s p ˌɛ ʂ p ə k t ˌiː v
avtalsrörelse|ˈɑː v t ɑː l s r ˌøː r ə l s ə
avtalsrörelsen|ˈɑː v t ɑː l s r ˌøː r ə l s ə n
avtalsrörelser|ˈɑː v t ɑː l s r ˌøː r ə l s ə r
avtalssekreterare|ˈɑː v t ɑː l s ə k r ə t ˌeː r a r ə
avtalstid|ˈɑː v t ɑː l s t ˌiː d
avtalsvägen|ˈɑː v t ɑː l s v ˌɛː ɡ ə n
avtar|ˈɑː v t ɑː r
avtjänade|ˈa v ɕ ɛː n ˌa d ə
avtjänat|ˈa v ɕ ɛː n ˌa t
avtog|ˈa v t uː ɡ
avtryck|ˈa v t r y k
avtrycken|ˈa v t r y kː ə n
avtäcktes|ˈa v t ə k t ə s
avund|ˈɑː v ɵ n d
avundades|ˈɑː v ɵ n d ˌa d ə s
avundas|ˈɑː v ɵ n d ˌa s
avundats|ˈɑː v ɵ n d ˌa t s
avundsjuk|ˈɑː v ɵ n d sx ˌʉ k
avundsvärd|ˈɑː v ɵ n d s v ˌɛː r d
avvakta|ˈa v a k t ˌa
avvaktan|ˈa v a k t ˌa n
avvaktande|ˈa v a k t ˌa n d ə
avvaktat|ˈa v a k t ˌa t
avvecklades|ˈa v ə k l ˌa d ə s
avvecklandet|ˈa v ə k l ˌa n d ə t
avvecklas|ˈa v ə k l ˌa s
avvecklat|ˈa v ə k l ˌa t
avveckling|ˈa v ə k l ˌɪ ŋ
avvecklingen|ˈa v ə k l ˌɪ ŋ ə n
avvecklingsfond|ˌa v ə k l ɪ ŋ s f ˈoː n d
avvek|ˈa v eː k
avverkad|ˈa v ə r k ˌa d
avverkade|ˈa v ə r k ˌa d ə
avverkarna|ˈa v ə r k ˌa r n a
avverkas|ˈa v ə r k ˌa s
avverkat|ˈa v ə r k ˌa t
avverkning|ˈa v ə r k n ˌɪ ŋ
avverkningen|ˈa v ə r k n ˌɪ ŋ ə n
avvikande|ˈa v iː k ˌa n d ə
avvikare|ˈa v iː k a r ə
avvikelser|ˈa v iː k ˌɛ l s ə r
avvikelserapport|ˈa v iː k ˌɛ l s eː r ˌa p ɔ t
avviker|ˈa v iː k ə r
avvikit|ˈa v iː k ˌiː t
avvisa|ˈa v iː s ˌa
avvisade|ˈa v iː s ˌa d ə
avvisades|ˈa v iː s ˌa d ə s
avvisande|ˈa v iː s ˌa n d ə
avvisar|ˈa v iː s ˌa r
avvisas|ˈa v iː s ˌa s
avvisat|ˈa v iː s ˌa t
avvisats|ˈa v iː s ˌa t s
avvisningsbeslut|ˈa v iː s n ˌɪ ŋ s b ə s l ˌʉ t
avvisningsbesluten|ˈa v iː s n ˌɪ ŋ s b ə s l ˌʉ t ə n
avvittringen|ˈa v ɪ t r ˌɪ ŋ ə n
avvägar|ˈa v ɛː ɡ ˌa r
avvägning|ˈa v ə ɡ n ˌɪ ŋ
avvägningar|ˈa v ə ɡ n ˌɪ ŋ a r
avvägt|ˈa v ə ɡ t
avväpnande|ˈa v ə p n ˌa n d ə
avvärjd|ˈa v ə r j d
avvärjts|ˈa v ə r j t s
avyttrade|ˈɑː v y t r ˌa d ə
avyttringar|ˈɑː v y t r ˌɪ ŋ a r
avåkning|ˈɑː v oː k n ˌɪ ŋ
av–|ˈɑː v
av”|ˈɑː v
awac|ˈɑː v a k
awad|ˈɑː v a d
award|ˈɑː v a r d
awards|ˈɑː v a r d s
away|ˈɑː v a ˌyː
ax|ˈa k s
axamo|ˈa k s a m ˌuː
axamobadet|ˈa k s a m ˌuː b a d ə t
axcent|ˈa k s s ə n t
axel|ˈa k s ə l
axelerator|ˈa k s ə l ˌeː r a t ˌɔ r
axell|ˈa k s ə l
axeln|ˈa k s ə l n
axelskada|ˈa k s ə l s k ˌɑː d a
axelspecialist|ˈa k s ə l s p ə s ˌɪ  a l ˌɪ s t
axelsson|ˈa k s ə l s ˌɔ n
axelväskan|ˈa k s ə l v ˌɛ s k a n
axen|ˈa k s ə n
axevalla|ˈa k s ə v ˌa l a
axfood|ˈa k s f uː ˌuː d
axfoods|ˈa k s f uː ˌɔ d s
axfoundation|ˌa k s f uː ˌɵ n d a sx ˈuː n
axis|ˈa k s iː s
axl|ˈa k s l
axlar|ˈa k s l a r
axlarna|ˈa k s l a r n ˌa
axlig|ˈa k s l ɪ ɡ
axmarby|ˈa k s m a r b ˌyː
axnér|a k s n ˈeː r
axtorp|ˈa k s t uː r p
axvall|ˈa k s v a l
axxell|ˈa k s ə l
axén|a k s ˈeː n
aylin|ˌɑː yː l ˈiː n
aylott|ˈɑː yː l ˌɔ t
ayn|ˈɑː yː n
aysen|ˈɑː yː s ə n
ayub|ˈɑː yː ˌʉ b
azadeh|ˈɑː s a d ə h
azarmi|ˈɑː s a r m ˌiː
azerbajdzjan|ˈɑː s ə r b ˌa j d s j a n
azerier|ˈɑː s ə r ˌiː  ə r
azeriska|ˈɑː s ə r ˌɪ s k a
azhi|ˈa s h iː
azim|ˈɑː s iː m
aznar|ˈa s n a r
aznavour|ˈa s n a v ˌuː ʉ r
azot|ˈɑː s uː t
azovbataljonen|ˈɑː s ɔ v b ˌa t ɑː l j ˌuː n ə n
azovska|ˈɑː s ɔ v s k ˌa
azovsoldat|ˈɑː s ɔ v s ˌɔ l d a t
azovstal|ˌɑː s ɔ v s t ˈɑː l
azpilicueta|ˈa s p iː l ˌɪ k ʉ ˌɛ t a
azra|ˈa s r a
azrafshan|ˈa s r a f s h ˌa n
azurblå|ˈɑː s ɵ r b l ˌoː
aìˆr|ˈɑː ɡ r ˈɑː v  ˈiː b ˈuː k s t a v ə n  t v ˈoː  s ˈeː  s ˈɛ k s  ˈɛ r
ägande|ˈɑː ɡ a n d ə
än|ˈɑː n
ännu|ˈɑː n ʉ
är|ˈɑː r
även|ˈɑː v ə n
åren|ˈɑː r ə n
åtagandena|ˈɑː t ɑː ɡ ˌa n d ə n ˌa
återinför|ˈɑː t eː r ɪ n f ˌuː r
åtta|ˈɑː tː a
a–slutspelet|ˈɑː s l ˈʉ t s p eː l ə t
b|b ˈeː
baas|b ˈa a s
bab|b ˈa b
babben|b ˈa b ə n
babbit|b ˈa b iː t
babblandet|b ˈa b l a n d ə t
babblar|b ˈa b l a r
babblarna|b ˈa b l a r n ˌa
babianer|b ˈa b iː  ˌa n ə r
babikov|b ˈa b iː k ˌuː v
babs|b ˈa b s
baby|b ˈa b yː
babyn|b ˈa b yː n
babyrytmik|b ˈa b yː r ˌy t m iː k
babys|b ˈa b yː s
baccalaureatn|b ˈa k s a l ˌa ʉ r ə ˌa t n
bach|b ˈa ʃ
bacha|b ˈa ʃ a
bachelor|b ˈa ʃ ə l ˌuː r
bachelors|b ˈa ʃ ə l ˌɔ ʂ
bachelorsäsong|b ˈa ʃ ə l ˌɔ ʂ ɛː s ˌɔ ŋ
bachirou|b ˈa ʃ iː r ˌuː ʉ
bachmann|b ˈa ʃ m a n
bachmut|b ˈa ʃ m ʉ t
back|b ˈa k
backa|b ˈa kː a
backa_undan|b ˈa kː a ˈɵ n d a n
backade|b ˈa kː a d ə
backanalisk|b ˈa kː a n ˌa l ɪ s k
backaområdet|b ˈa kː a ˌɔ m r oː d ə t
backar|b ˈa kː a r
backarna|b ˈa kː a r n ˌa
backas|b ˈa kː a s
backat|b ˈa kː a t
backavik|b ˈa kː a v ˌiː k
backby|b ˈa k b yː
backcheckar|b ˈa k ʃ ə kː ˌa r
backen|b ˈa kː ə n
backens|b ˈa kː ə n s
backeryd|b ˈa kː ə r ˌyː d
backeryds|b ˈa kː ə r ˌy d s
backeskog|b ˈa kː ə s k ˌuː ɡ
backeus|b ˈa kː ə ˌʉ s
backgeneralen|b ˈa k j ə n ˌeː r a l ə n
backgård|b ˈa k ɡ oː r d
backhoppare|b ˈa k h ɔ p ˌa r ə
backhoppning|b ˈa k h ɔ p n ˌɪ ŋ
backigt|b ˈa kː ɪ k t
backlash|b ˈa k l a s h
backlegendaren|b ˈa k l ə j ə n d ˌa r ə n
backlinje|b ˈa k l ɪ n j ə
backlinjen|b ˈa k l ɪ n j ə n
backlund|b ˈa k l ɵ n d
backlunds|b ˈa k l ɵ n d s
backman|b ˈa k m a n
backning|b ˈa k n ɪ ŋ
backsidan|b ˈa k s iː d ˌa n
backsjön|b ˈa k sx øː n
backspegeln|b ˈa k s p eː ɡ ˌɛ l n
backspeglar|b ˈa k s p eː ɡ l ˌa r
backstabränna|b ˈa k s t a b r ˌɛ n a
backstage|b ˈa k s t ɑː ɡ ə
backstjärna|b ˈa k sx ə r n ˌa
backstjärnan|b ˈa k sx ə r n ˌa n
backstreet|b ˈa k s t r ə ə t
backstuga|b ˈa k s t ʉ ɡ ˌa
backuppsättning|b ˈa kː ɵ p s ˌɛ t n ɪ ŋ
backveteranen|b ˈa k v ə t ˌeː r a n ə n
backyard|b ˈa kː yː ˌa r d
baconskivor|b ˈa k ʊ n sx ˌiː v uː r
bad|b ˈa d
bada|b ˈa d a
badade|b ˈa d a d ə
badajoz|b ˈa d a j ˌuː s
badalamenti|b ˈa d a l ˌa m ə n t ˌiː
badande|b ˈa d a n d ə
badare|b ˈa d a r ə
badass|b ˈa d a s
badat|b ˈa d a t
badawi|b ˈa d a v ˌiː
badbassänger|b ˈa d b a s ˌɛ ŋ ə r
badbryggor|b ˈa d b r y ɡ ˌʊ r
baden|b ˈa d ə n
badet|b ˈa d ə t
badgäster|b ˈa d j ə s t ə r
badhus|b ˈa d h ʉ s
badhuset|b ˈa d h ʉ s ə t
badhusparken|b ˈa d h ɵ s p ˌa r k ə n
badkaret|b ˈa d k a r ə t
badkläder|b ˈa d k l ɛː d ə r
badklädesmärket|b ˈa d k l ɛː d ˌɛ s m ə r k ə t
badman|b ˈa d m a n
badminton|b ˈa d m ɪ n t ˌuː n
badmintonklubb|b ˈa d m ɪ n t ˌɔ ŋ k l ɵ b
badplats|b ˈa d p l a t s
badplatsen|b ˈa d p l a t s ə n
badplatser|b ˈa d p l a t s ə r
badrummet|b ˈa d r ɵ m ə t
badrumsrenoveringsfirma|b ˈa d r ɵ m s r ə n ˌuː v eː r ˌɪ ŋ s f ɪ r m ˌa
badsjö|b ˈa d sx øː
badsjön|b ˈa d sx øː n
badstrand|b ˈa d s t r a n d
badsäsongen|b ˈa d s ɛː s ˌɔ ŋ ə n
badsäsongens|b ˈa d s ɛː s ˌɔ ŋ ə n s
badturister|b ˈa d t ʉ r ˌɪ s t ə r
badvakt|b ˈa d v a k t
badvatten|b ˈa d v a tː ə n
badvik|b ˈa d v iː k
badvänligt|b ˈa d v ə n l ˌɪ k t
bad”|b ˈa d
bae|b ˈa ə
baerbock|b ˈa ə r b ˌɔ k
bagagehantering|b ˈa ɡ a ɡ ə h ˌa n t eː r ˌɪ ŋ
bagagekaos|b ˈa ɡ a ɡ ə k ˌa uː s
bagageluckan|b ˈa ɡ a ɡ ə l ˌɵ kː a n
bagaget|b ˈa ɡ a ɡ ə t
bagageutrymmet|b ˈa ɡ a ɡ ə ˌʉ t r y m ə t
bagare|b ˈa ɡ a r ə
bagaren|b ˈa ɡ a r ə n
bagarmossen|b ˈa ɡ a r m ˌɔ s ə n
bagarstugan|b ˈa ɡ a ʂ t ˌʉ ɡ a n
bagdad|b ˈa ɡ d a d
bagenda|b ˈa ɡ ə n d ˌa
bageri|b ˈa ɡ ə r ˌiː
bagerieleverna|b ˈa ɡ ə r ˌiː  ə l ˌɛ v ə r n ˌa
bagerier|b ˈa ɡ ə r ˌiː  ə r
bageriet|b ˈa ɡ ə r ˌiː  ə t
bageriets|b ˈa ɡ ə r ˌiː  ə t s
bageriidkarnas|b ˈa ɡ ə r ˌiː  ɪ d k ˌa r n a s
baggebolet|b ˈa ɡ ə b ˌuː l ə t
baggen|b ˈa ɡ ə n
bagges|b ˈa ɡ ə s
baggövägen|b ˈa ɡ øː v ˌɛː ɡ ə n
bagieu|b ˈa ɡ iː  ə ˌʉ
bagmut|b ˈa ɡ m ʉ t
bags|b ˈa ɡ s
bagshaw|b ˈa ɡ s h a v
baguettinköpet|b ˈa ɡ ʉ ˌɛ tː ɪ ŋ ɕ ˌøː p ə t
bah|b ˈa h
bahadur|b ˈa h a d ˌʉ r
bahamas|b ˈa h a m ˌa s
baharis|b ˈa h a r ˌiː s
bahceli|b ˈa h s ə l ˌiː
bahman|b ˈa h m a n
bahoui|b ˈa h uː ˌʉ iː
bahr|b ˈa h r
bahrain|b ˌa h r a ˈiː n
bahçeli|b ˈa h s ə l ˌiː
baidoo|b ˈa iː d ˌuː uː
baidoos|b ˈa iː d ˌuː uː s
baila|b ˈa iː l ˌa
bain|b a ˈiː n
baird|b ˈa ɪ r d
bait|b ˈa iː t
baiyun|b ˈa iː  ˌyː ɵ n
baj|b ˈa j
bajamaja|b ˈa j a m ˌa j a
bajen|b ˈa j ə n
bajens|b ˈa j ə n s
bajset|b ˈa j s ə t
bak|b ˈɑː k
baka|b ˈɑː k a
bakade|b ˈɑː k a d ə
bakalova|b ˌɑː k a l ˈoː v a
bakanov|b ˈɑː k a n ˌuː v
bakar|b ˈɑː k a r
bakar”|b ˈɑː k a r
bakas|b ˈɑː k a s
bakat|b ˈɑː k a t
bakats|b ˈɑː k a t s
bakbenet|b ˈɑː k b ə n ə t
bakbundna|b ˈɑː k b ɵ n d n ˌa
bakdörren|b ɑː k d ˈœ r ə n
bakelser|b ˈɑː k ə l s ə r
baker|b ˈɑː k ə r
baket|b ˈɑː k ə t
bakficka|b ˈɑː k f ɪ kː ˌa
bakfoten|b ˈɑː k f uː t ə n
bakgata|b ˈɑː k ɡ ɑː t ˌa
bakgrunden|b ˈɑː k ɡ r ɵ n d ə n
bakgrunder|b ˈɑː k ɡ r ɵ n d ə r
bakgrundsdansare|b ˈɑː k ɡ r ɵ n d s d ˌa n s a r ə
bakgrundsfärgen|b ˈɑː k ɡ r ɵ n d s f ˌɛ r j ə n
bakgrundsinformation|b ˌɑː k ɡ r ɵ n d s ɪ n f ɔ r m a sx ˈuː n
bakgrundskontroller|b ˈɑː k ɡ r ɵ n d s k ˌɔ n t r ɔ l ə r
bakgrundsljud|b ˌɑː k ɡ r ɵ n d s j ˈʉ d
bakgugnen|b ˈɑː k ɡ ɵ ŋ n ə n
bakgården|b ˈɑː k ɡ oː r d ə n
bakhmut|b ˈɑː k h m ʉ t
bakhuvud|b ˈɑː k h ʉ v ˌʉ d
bakhuvuden|b ˈɑː k h ʉ v ˌʉ d ə n
bakhuvudet|b ˈɑː k h ʉ v ˌʉ d ə t
bakker|b ˈɑː k k ə r
bakkurs|b ˈɑː k k ɵ ʂ
baklucka|b ˈɑː k l ɵ kː ˌa
bakluckan|b ˈɑː k l ɵ kː ˌa n
bakluckeloppis|b ˈɑː k l ɵ kː ə l ˌɔ p iː s
baklyset|b ˈɑː k l yː s ə t
baklänges|b ˈɑː k l ə ŋ ə s
baklås|b ɑː k l ˈoː s
bakom|b ˈɑː k ɔ m
bakomliggande|b ˈɑː k ɔ m l ˌɪ ɡ a n d ə
bakom…|b ˈɑː k ɔ m
bakpå|b ˈɑː k p oː
bakrutan|b ˈɑː k r ʉ t ˌa n
baksaas|b ˈɑː k s a ˌa s
baksi|b ˈɑː k s iː
baksidan|b ˈɑː k s iː d ˌa n
baksidor|b ˈɑː k s iː d ˌuː r
baksidorna|b ˈɑː k s iː d ˌuː r n a
bakskärmen|b ɑː k sx ˈɛ r m ə n
bakslaget|b ˈɑː k s l ɑː ɡ ə t
baksmällan|b ˈɑː k s m ə l ˌa n
baksmälla”|b ˈɑː k s m ə l ˌa
bakspaden|b ˈɑː k s p a d ə n
bakstra|b ˈɑː k s t r a
baksätet|b ˈɑː k s ɛː t ə t
bakterieinfektion|b ˌa k t ə r ˌiː  ə ɪ n f ə k sx ˈuː n
bakteriekulturer|b ˈa k t ə r ˌiː  ə k ˌɵ l t ʉ r ə r
bakteriell|b ˈa k t ə r ˌiː  ə l
bakterien|b ˈa k t ə r ˌiː  ə n
bakterieodlingen|b ˈa k t ə r ˌiː  ə ˌɔ d l ɪ ŋ ə n
bakterier|b ˈa k t ə r ˌiː  ə r
bakterierna|b ˈa k t ə r ˌiː  ə r n ˌa
baktrapporna|b ˈɑː k t r a p ˌuː r n a
baku|b ˈɑː k ʉ
bakugnen|b ˈɑː k ɵ ŋ n ə n
bakus|b ˈɑː k ʉ s
bakut|b ˈɑː k ʉ t
bakutrymmet|b ˈɑː k ʉ t r ˌy m ə t
bakvattnet|b ˈɑː k v a t n ə t
bakverket|b ˈɑː k v ə r k ə t
bakvinge|b ˈɑː k v ɪ ŋ ə
bakvägen|b ˈɑː k v ɛː ɡ ə n
bakvänt|b ˈɑː k v ə n t
bakåt|b ˈɑː k oː t
bakåtsluttande|b ˈɑː k oː t s l ˌɵ tː a n d ə
balakot|b ˈa l a k ˌuː t
balanchine|b ˈa l a n ʃ ˌiː n ə
balansakt|b ˈa l a n s ˌa k t
balansen|b ˈa l a n s ə n
balanserad|b ˈa l a n s ˌeː r a d
balanserade|b ˈa l a n s ˌeː r a d ə
balanseras|b ˈa l a n s ˌeː r a s
balanserat|b ˈa l a n s ˌeː r a t
balanserats|b ˈa l a n s ˌeː r a t s
balansgång|b ˈa l a n s ɡ ˌɔ ŋ
balansgången|b ˈa l a n s ɡ ˌɔ ŋ ə n
balansproblem|b ˈa l a n s p r ɔ b l ə m
balansräkningar|b ˈa l a n s r ˌɛː k n ɪ ŋ ˌa r
balansräkningen|b ˈa l a n s r ˌɛː k n ɪ ŋ ə n
balasingham|b ˈa l a s ˌɪ ŋ h a m
balcos|b ˈa l k uː s
balder|b ˈa l d ə r
baldershallen|b ˈa l d ə ʂ h ˌa l ə n
baldur|b ˈa l d ʉ r
baldwin|b a l d v ˈiː n
bale|b ˈa l ə
balearerna|b ˈa l ə ˌa r ə r n ˌa
baleares|b ˈa l ə ˌa r ə s
balen|b ˈa l ə n
balettdansörer|b ˈa l ə t d ˌa n s øː r ə r
baletten|b ˈa l ə tː ə n
bali|b ˈa l iː
balis|b ˈa l iː s
baljväxterna|b ˈa l j v ə k s t ˌɛ r n a
balkan|b ˈa l k a n
balkar|b ˈa l k a r
balken|b ˈa l k ə n
balkommitté|b ˌa l k ɔ m ɪ tː ˈeː
balkongen|b ˈa l k ɔ ŋ ə n
balkongerna|b ˈa l k ɔ ŋ ˌɛ r n a
balkonglådan|b ˈa l k ɔ ŋ l ˌoː d a n
ball|b ˈa l
balla|b ˈa l a
balladen|b ˈa l a d ə n
ballandra|b ˈa l a n d r ˌa
ballater|b ˈa l a t ə r
ballistisk|b ˈa l ɪ s t ˌɪ s k
ballistiska|b ˈa l ɪ s t ˌɪ s k a
ballkani|b ˈa l k a n ˌiː
ballon|b ˈa l ɔ n
ballongen|b ˈa l ɔ ŋ ə n
ballonger|b ˈa l ɔ ŋ ə r
ballongerna|b ˈa l ɔ ŋ ˌɛ r n a
ballongflyg|b ˈa l ɔ ŋ f l ˌyː ɡ
ballongkungen|b ˈa l ɔ ŋ k ˌɵ ŋ ə n
ballovarres|b a l ˈoː v a r ə s
ball”|b ˈa l
balmoral|b ˈa l m uː r ˌa l
balotelli|b ˈa l uː t ˌɛ l iː
balrog|b ˈa l r uː ɡ
balterna|b ˈa l t ə r n ˌa
baltic|b ˈa l t iː k
baltikum|b ˈa l t iː k ˌʉ m
