&| ˈe 
convincente|k ˌu ŋ v i ŋ s ˈeɪ ŋ t ɨ
convincentes|k ˌu ŋ v i ŋ s ˈeɪ ŋ t ɨ ʃ
convinha|k ˌu ŋ v ˈi ɲ ɐ
convir|k u ŋ v ˈi ɹ
convite|k ˌu ŋ v ˈi t ɨ
convites|k ˌu ŋ v ˈi t ɨ ʃ
convive|k ˌu ŋ v ˈi v ɨ
convivem|k ˌu ŋ v ˈi v eɪ ŋ
convivendo|k ˌu ŋ v i v ˈeɪ ŋ d ʊ
conviver|k ˌu ŋ v i v ˈe ɹ
conviveram|k ˌu ŋ v i v ˈe ɾ ɐ̃ʊ̃
conviverá|k ˌu ŋ v i v ɨ ɾ ˈa
conviveu|k ˌu ŋ v i v ˈeʊ
conviveu”|k ˌu ŋ v i v ˈeʊ
convivi|k ˌu ŋ v i v ˈi
convivia|k ˌu ŋ v i v ˈi  ɐ
convivido|k ˌu ŋ v i v ˈi d ʊ
convivo|k ˌu ŋ v ˈi v ʊ
convivência|k ˌu ŋ v i v ˈeɪ ŋ s j ɐ
convivências|k ˌu ŋ v i v ˈeɪ ŋ s i  ɐ ʃ
convoca|k ˌu ŋ v ˈɔ k ɐ
convocada|k ˌu ŋ v u k ˈa d ɐ
convocadas|k ˌu ŋ v u k ˈa d ɐ ʃ
convocada”|k ˌu ŋ v u k ˈa d ɐ
convocado|k ˌu ŋ v u k ˈa d ʊ
convocados|k ˌu ŋ v u k ˈa d ʊ ʃ
convocando|k ˌu ŋ v u k ˈɐ̃ ŋ d ʊ
convocar|k ˌu ŋ v u k ˈa ɹ
convocaram|k ˌu ŋ v u k ˈa ɾ ɐ̃ʊ̃
convocarei|k ˌu ŋ v u k ɐ ɾ ˈeɪ
convocará|k ˌu ŋ v u k ɐ ɾ ˈa
convocasse|k ˌu ŋ v u k ˈa s ɨ
convocatória|k ˌu ŋ v u k ɐ t ˈɔ ɾ j ɐ
convocação|k ˌu ŋ v u k ɐ s ˈɐ̃ʊ̃
convocações|k ˌu ŋ v u k ɐ s ˈõ j ʃ
convoco|k ˌu ŋ v ˈɔ k ʊ
convocou|k ˌu ŋ v u k ˈo w
convolução|k ˌu ŋ v u l u s ˈɐ̃ʊ̃
convulsiva|k ˌu ŋ v u w s ˈi v ɐ
convulsivamente|k ˌu ŋ v u w s ˌi v ɐ m ˈeɪ ŋ t ɨ
convulsivo|k ˌu ŋ v u w s ˈi v ʊ
convulso|k ˌu ŋ v ˈu w s ʊ
convulsão|k ˌu ŋ v u w s ˈɐ̃ʊ̃
convulsões|k ˌu ŋ v u w s ˈõ j ʃ
convulsões”|k ˌu ŋ v u w s ˈõ j ʃ
convulções|k ˌu ŋ v u w s ˈõ j ʃ
convém|k u ŋ v ˈeɪ ŋ
convênio|k ˌu ŋ v ˈe n j ʊ
convênios|k ˌu ŋ v ˈe n iʊ ʃ
convívio|k ˌu ŋ v ˈi v j ʊ
conxa|k ˈo ŋ ʃ ɐ
coníferas|k ˌu n ˈi f ɨ ɾ ɐ ʃ
coodenador|k ˌu u d ˌɨ n ɐ d ˈo ɹ
cooffe|k ˌu ˈo f ɨ
cook|k ˈʊ k
cookies|k ˌu u k ˈi  ɨ ʃ
cooler|k ˌu u l ˈe ɹ
cooley|k ˌu u l ˈeɪ
coons|k u ˈo ŋ ʃ
coopavel|k ˌu u p ˈa v ˌɛ l
coopecitrus|k ˌu u p ˌe s i t ɹ ˈu ʃ
cooper|k ˌu u p ˈe ɹ
coopera|k ˌu u p ˈɛ ɾ ɐ
cooperada|k ˌu u p ɨ ɾ ˈa d ɐ
cooperado|k ˌu u p ɨ ɾ ˈa d ʊ
cooperados|k ˌu u p ɨ ɾ ˈa d ʊ ʃ
cooperam|k ˌu u p ˈɛ ɾ ɐ̃ʊ̃
cooperar|k ˌu u p ɨ ɾ ˈa ɹ
cooperarei|k ˌu u p ˌe ɾ ɐ ɾ ˈeɪ
cooperativa|k ˌu u p ˌe ɾ ɐ t ˈi v ɐ
cooperativas|k ˌu u p ˌe ɾ ɐ t ˈi v ɐ ʃ
cooperativos|k ˌu u p ˌe ɾ ɐ t ˈi v ʊ ʃ
cooperação|k ˌu u p ˌe ɾ ɐ s ˈɐ̃ʊ̃
cooperação”|k ˌu u p ˌe ɾ ɐ s ˈɐ̃ʊ̃
cooperações|k ˌu u p ˌe ɾ ɐ s ˈõ j ʃ
cooperstown|k ˌu u p ɨ ɾ ə s t ˈo w n
coopervap|k ˌu u p ɨ ɾ ə v ˈa p
coopes|k ˌu ˈo p ɨ ʃ
cooppovo|k ˌu u p ˈo v ʊ
coordena|k ˌu u ɾ ə d ˈe n ɐ
coordenada|k ˌu u ɾ ə d ɨ n ˈa d ɐ
coordenadas|k ˌu u ɾ ə d ɨ n ˈa d ɐ ʃ
coordenado|k ˌu u ɾ ə d ɨ n ˈa d ʊ
coordenador|k ˌu u ɾ ə d ˌɨ n ɐ d ˈo ɹ
coordenadora|k ˌu u ɾ ə d ˌɨ n ɐ d ˈo ɾ ɐ
coordenadores|k ˌu u ɾ ə d ˌɨ n ɐ d ˈo ɾ ɨ ʃ
coordenadoria|k ˌu u ɾ ə d ˌɨ n ɐ d u ɾ ˈi  ɐ
coordenar|k ˌu u ɾ ə d ɨ n ˈa ɹ
coordenava|k ˌu u ɾ ə d ɨ n ˈa v ɐ
coordenação|k ˌu u ɾ ə d ˌɨ n ɐ s ˈɐ̃ʊ̃
coordenem|k ˌu u ɾ ə d ˈe n eɪ ŋ
coordenou|k ˌu u ɾ ə d ɨ n ˈo w
coorganizado|k ˌu u ɾ ə ɡ ɐ n i z ˈa d ʊ
cop|k ˈɔ p
copa|k ˈɔ p ɐ
copacabana|k ˌu p ɐ k ɐ b ˈɐ̃ n ɐ
copan|k u p ˈɐ̃ ŋ
coparticipação|k ˌu p ɐ ɾ ə t ˌi s i p ɐ s ˈɐ̃ʊ̃
copas|k ˈo p ɐ ʃ
copasa|k ˌu p ˈa z ɐ
copa”|k ˈɔ p ɐ
cope|k ˈɔ p ɨ
copel|k u p ˈɛ l
copelli|k ˌu p ɨ l ˈi
copenhague|k ˌu p ɨ ɲ ˈa ɡ ɨ
copete|k ˌu p ˈɛ t ɨ
copetti|k ˌu p ɨ t ˈi
copiado|k ˌu p i  ˈa d ʊ
copiados|k ˌu p i  ˈa d ʊ ʃ
copiar|k ˌu p i  ˈa ɹ
copinha|k ˌu p ˈi ɲ ɐ
copinhos|k ˌu p ˈi ɲ ʊ ʃ
copiá|k ˌu p i  ˈa
copley|k u p l ˈeɪ
copo|k ˈɔ p ʊ
copom|k u p ˈo ŋ
copos|k ˈo p ʊ ʃ
copperfield|k ˌu p ɨ ɾ ə f i  ˈe l d
coppieters|k ˌu p i  ɨ t ˈe ɾ ə ʃ
coppola|k ˌu p ˈɔ l ɐ
coproduzir|k ˌu p ɹ u d u z ˈi ɹ
coproprietários|k ˌu p ɹ u p ɹ ˌi  ɨ t ˈa ɾ iʊ ʃ
copular|k ˌu p u l ˈa ɹ
coqueirais|k ˌu k eɪ ɾ ˈaɪ ʃ
coqueiro|k ˌu k ˈeɪ ɾ ʊ
coqueiros|k ˌu k ˈeɪ ɾ ʊ ʃ
coques|k ˈo k ɨ ʃ
coquetel|k ˌu k ɨ t ˈɛ l
coqueteleira|k ˌu k ɨ t ɨ l ˈeɪ ɾ ɐ
coquetéis|k ˌu k ɨ t ˈɛɪ ʃ
cor|k ˈo ɹ
cora|k ˈɔ ɾ ɐ
corada|k ˌu ɾ ˈa d ɐ
coradinho|k ˌu ɾ ɐ d ˈi ɲ ʊ
coragem|k ˌu ɾ ˈa ʒ eɪ ŋ
corais|k u ɾ ˈaɪ ʃ
corajosa|k ˌu ɾ ɐ ʒ ˈɔ z ɐ
corajosamente|k ˌu ɾ ɐ ʒ ˌu z ɐ m ˈeɪ ŋ t ɨ
corajosas|k ˌu ɾ ɐ ʒ ˈo z ɐ ʃ
corajoso|k ˌu ɾ ɐ ʒ ˈo z ʊ
corajosos|k ˌu ɾ ɐ ʒ ˈo z ʊ ʃ
coral|k u ɾ ˈɑ l
corante|k ˌu ɾ ˈɐ̃ ŋ t ɨ
corantes|k ˌu ɾ ˈɐ̃ ŋ t ɨ ʃ
corasini|k ˌu ɾ ɐ z i n ˈi
coraça|k ˌu ɾ ˈa s ɐ
coração|k ˌu ɾ ɐ s ˈɐ̃ʊ̃
coração”|k ˌu ɾ ɐ s ˈɐ̃ʊ̃
corações|k ˌu ɾ ɐ s ˈõ j ʃ
corbelhas|k ˌu ɾ ə b ˈe ʎ ɐ ʃ
corbellini|k ˌu ɾ ə b ɨ l i n ˈi
corceis|k u ɾ ə s ˈeɪ ʃ
corcel|k u ɾ ə s ˈɛ l
corcovado|k ˌu ɾ ə k u v ˈa d ʊ
cord|k ˈo ɾ ə d
corda|k ˈɔ ɾ ə d ɐ
cordas|k ˈo ɾ ə d ɐ ʃ
corde|k ˈɔ ɾ ə d ɨ
cordeirinho|k ˌu ɾ ə d eɪ ɾ ˈi ɲ ʊ
cordeiro|k ˌu ɾ ə d ˈeɪ ɾ ʊ
cordeiros|k ˌu ɾ ə d ˈeɪ ɾ ʊ ʃ
cordeirópolis|k ˌu ɾ ə d eɪ ɾ ˈɔ p u l i ʃ
cordel|k u ɾ ə d ˈɛ l
cordiais|k ˌu ɾ ə d i  ˈaɪ ʃ
cordial|k ˌu ɾ ə d i  ˈɑ l
cordiale|k ˌu ɾ ə d i  ˈa l ɨ
cordialidade|k ˌu ɾ ə d i  ˌɐ l i d ˈa d ɨ
cordialmente|k ˌu ɾ ə d i  ˌɑ l m ˈeɪ ŋ t ɨ
cordovesa|k ˌu ɾ ə d u v ˈe z ɐ
cordão|k u ɾ ə d ˈɐ̃ʊ̃
cordões|k u ɾ ə d ˈõ j ʃ
coreana|k ˌu ɾ i  ˈɐ̃ n ɐ
coreanas|k ˌu ɾ i  ˈɐ̃ n ɐ ʃ
coreano|k ˌu ɾ i  ˈɐ̃ n ʊ
coreanos|k ˌu ɾ i  ˈɐ̃ n ʊ ʃ
corei|k u ɾ ˈeɪ
coreia|k ˌu ɾ ˈɛɪ ɐ
corelli|k ˌu ɾ ɨ l ˈi
coreografia|k ˌu ɾ ˈi  u ɡ ɹ ɐ f ˈi  ɐ
coreografias|k u ɾ ˌi  u ɡ ɹ ɐ f ˈi  ɐ ʃ
coreográfica|k u ɾ ˌi  u ɡ ɹ ˈa f i k ɐ
cores|k ˈo ɾ ɨ ʃ
cores”|k ˈo ɾ ɨ ʃ
coreto|k ˌu ɾ ˈe t ʊ
corey|k u ɾ ˈeɪ
coreógrafa|k ˌu ɾ ɨ ˈɔ ɡ ɹ ɐ f ɐ
coreógrafo|k ˌu ɾ ɨ ˈɔ ɡ ɹ ɐ f ʊ
corfu|k u ɾ ə f ˈu
corgi|k u ɾ ə ʒ ˈi
corgis|k u ɾ ə ʒ ˈi ʃ
coringa|k ˌu ɾ ˈi ŋ ɡ ɐ
coringas|k ˌu ɾ ˈi ŋ ɡ ɐ ʃ
corinne|k ˌu ɾ ˈi ŋ n ɨ
corinthian| k ə ɹ ˈɪ n θ iə n (pt-pt)
corinthians| k ə ɹ ˈɪ n θ iə n z (pt-pt)
corintiana|k ˌu ɾ i ŋ t i  ˈɐ̃ n ɐ
corintianos|k ˌu ɾ i ŋ t i  ˈɐ̃ n ʊ ʃ
corinto|k ˌu ɾ ˈi ŋ t ʊ
coriocarcinoma|k ˌu ɾ i  ˌu k ɐ ɾ ə s i n ˈo m ɐ
coriolano|k ˌu ɾ i  u l ˈɐ̃ n ʊ
corisco|k ˌu ɾ ˈi ʃ k ʊ
coritiba|k ˌu ɾ i t ˈi b ɐ
coriza|k ˌu ɾ ˈi z ɐ
corja|k ˈɔ ɾ ə ʒ ɐ
cormac|k u ɾ ə m ˈa k
cornerback|k ˌu ɾ ə n ɨ ɾ ə b ˈa k
cornershop|k ˌu ɾ ə n ɨ ɾ ə ʃ ˈɔ p
corneta|k ˌu ɾ ə n ˈe t ɐ
cornetar|k ˌu ɾ ə n ˈɛ t ɐ ɹ
cornetou|k ˌu ɾ ə n ˈɛ t u w
corning| k ˈɔː n ɪ ŋ (pt-pt)
cornualha|k ˌu ɾ ə n u ˈa ʎ ɐ
cornélia|k ˌu ɾ ə n ˈɛ l j ɐ
coroa|k ˌu ɾ ˈo ɐ
coroa'|k ˌu ɾ ˈo ɐ
coroada|k ˌu ɾ u ˈa d ɐ
coroadinho|k ˌu ɾ u ɐ d ˈi ɲ ʊ
coroado|k ˌu ɾ u ˈa d ʊ
coroados|k ˌu ɾ u ˈa d ʊ ʃ
coroas|k ˌu ɾ ˈo ɐ ʃ
coroasse|k ˌu ɾ u ˈa s ɨ
coroatá|k ˌu ɾ u ɐ t ˈa
coroava|k ˌu ɾ u ˈa v ɐ
coroação|k ˌu ɾ u ɐ s ˈɐ̃ʊ̃
corolla|k ˌu ɾ ˈo l ɐ
corombert|k ˌu ɾ u m b ˈe ɾ ə t
corona|k ˌu ɾ ˈo n ɐ
coronavac|k ˌu ɾ ˈo n ɐ v ˈa k
coronavirus|k ˌu ɾ u n ˌɐ v i ɾ ˈu ʃ
coronavíris|k ˌu ɾ u n ɐ v ˈi ɾ i ʃ
coronavírus”|k ˌu ɾ u n ɐ v ˈi ɾ u ʃ
coronel|k ˌu ɾ u n ˈɛ l
coronelismo|k ˌu ɾ u n ɨ l ˈi ʒ m ʊ
coroner|k ˌu ɾ u n ˈe ɹ
coronhada|k ˌu ɾ u ɲ ˈa d ɐ
coronhadas|k ˌu ɾ u ɲ ˈa d ɐ ʃ
coroou|k ˌu ɾ u ˈo w
coros|k ˈo ɾ ʊ ʃ
corote|k ˌu ɾ ˈɔ t ɨ
corou|k u ɾ ˈo w
corp|k ˈo ɾ ə p
corpete|k ˌu ɾ ə p ˈe t ɨ
corpinho|k ˌu ɾ ə p ˈi ɲ ʊ
corpo|k ˈo ɾ ə p ʊ
corporais|k ˌu ɾ ə p u ɾ ˈaɪ ʃ
corporal|k ˌu ɾ ə p u ɾ ˈɑ l
corporate|k ˌu ɾ ə p u ɾ ˈa t ɨ
corporation|k ˌu ɾ ə p u ɾ ˈeɪ ʃ ɐ̃ ŋ
corporativa|k ˌu ɾ ə p u ɾ ɐ t ˈi v ɐ
corporativas|k ˌu ɾ ə p u ɾ ɐ t ˈi v ɐ ʃ
corporativascomo|k ˌu ɾ ə p u ɾ ˌɐ t i v ɐ ʃ k ˈo m ʊ
corporativasgp|k ˌu ɾ ə p u ɾ ˌɐ t i v ˈa ʒ ɡ p
corporativista|k ˌu ɾ ə p u ɾ ˌɐ t i v ˈi ʃ t ɐ
corporativo|k ˌu ɾ ə p u ɾ ɐ t ˈi v ʊ
corporativos|k ˌu ɾ ə p u ɾ ɐ t ˈi v ʊ ʃ
corporação|k ˌu ɾ ə p u ɾ ɐ s ˈɐ̃ʊ̃
corporações|k ˌu ɾ ə p u ɾ ɐ s ˈõ j ʃ
corpos|k ˈɔ ɾ ə p ʊ ʃ
corpo”|k ˈo ɾ ə p ʊ
corpus|k ˈɔ ɾ ə p ʊ ʃ
corpão|k u ɾ ə p ˈɐ̃ʊ̃
corra|k ˈo ʁ ɐ
corrales|k ˌu ʁ ˈa l ɨ ʃ
corram|k ˈo ʁ ɐ̃ʊ̃
corre|k ˈɔ ʁ ɨ
correa|k ˌu ʁ ˈi  ɐ
correalização|k ˌu ʁ i  ˌɐ l i z ɐ s ˈɐ̃ʊ̃
correce|k ˌu ʁ ˈɛ s ɨ
correcional|k ˌu ʁ ɨ s ˌi  u n ˈɑ l
corredeiras|k ˌu ʁ ɨ d ˈeɪ ɾ ɐ ʃ
corredero|k ˌu ʁ ɨ d ˈe ɾ ʊ
corredor|k ˌu ʁ ɨ d ˈo ɹ
corredora|k ˌu ʁ ɨ d ˈo ɾ ɐ
corredores|k ˌu ʁ ɨ d ˈo ɾ ɨ ʃ
corregedor|k ˌu ʁ ɨ ʒ ɨ d ˈo ɹ
corregedora|k ˌu ʁ ɨ ʒ ɨ d ˈo ɾ ɐ
corregedoria|k ˌu ʁ ɨ ʒ ˌe d u ɾ ˈi  ɐ
correia|k ˌu ʁ ˈeɪ  ɐ
correio|k ˌu ʁ ˈeɪ  ʊ
correios|k ˌu ʁ ˈeɪ  ʊ ʃ
correlacionada|k ˌu ʁ ɨ l ˌɐ s i  u n ˈa d ɐ
correlacionados|k ˌu ʁ ɨ l ˌɐ s i  u n ˈa d ʊ ʃ
correlatadas|k ˌu ʁ ɨ l ɐ t ˈa d ɐ ʃ
correlatas|k ˌu ʁ ɨ l ˈa t ɐ ʃ
correlação|k ˌu ʁ ɨ l ɐ s ˈɐ̃ʊ̃
correligionário|k ˌu ʁ ɨ l ˌi ʒ i  u n ˈa ɾ j ʊ
correligionários|k ˌu ʁ ɨ l ˌi ʒ i  u n ˈa ɾ iʊ ʃ
correm|k ˈɔ ʁ eɪ ŋ
corremos|k ˌu ʁ ˈe m ʊ ʃ
correndo|k ˌu ʁ ˈeɪ ŋ d ʊ
corrente|k ˌu ʁ ˈeɪ ŋ t ɨ
correntes|k ˌu ʁ ˈeɪ ŋ t ɨ ʃ
correnteza|k ˌu ʁ eɪ ŋ t ˈe z ɐ
correntistas|k ˌu ʁ eɪ ŋ t ˈi ʃ t ɐ ʃ
correntropia|k ˌu ʁ eɪ ŋ t ɹ u p ˈi  ɐ
correpondência|k ˌu ʁ ɨ p u ŋ d ˈeɪ ŋ s j ɐ
correr|k u ʁ ˈe ɹ
correr'|k u ʁ ˈe ɹ
correram|k ˌu ʁ ˈe ɾ ɐ̃ʊ̃
correrem|k ˌu ʁ ˈe ɾ eɪ ŋ
correria|k ˌu ʁ ɨ ɾ ˈi  ɐ
correrá|k ˌu ʁ ɨ ɾ ˈa
correr”|k u ʁ ˈe ɹ
corresponda|k ˌu ʁ ɨ ʃ p ˈo ŋ d ɐ
corresponde|k ˌu ʁ ɨ ʃ p ˈo ŋ d ɨ
correspondem|k ˌu ʁ ɨ ʃ p ˈo ŋ d eɪ ŋ
correspondendo|k ˌu ʁ ɨ ʃ p u ŋ d ˈeɪ ŋ d ʊ
correspondente|k ˌu ʁ ɨ ʃ p u ŋ d ˈeɪ ŋ t ɨ
correspondentes|k ˌu ʁ ɨ ʃ p u ŋ d ˈeɪ ŋ t ɨ ʃ
correspondente”|k ˌu ʁ ɨ ʃ p u ŋ d ˈeɪ ŋ t ɨ
corresponder|k ˌu ʁ ɨ ʃ p u ŋ d ˈe ɹ
corresponderem|k ˌu ʁ ɨ ʃ p u ŋ d ˈe ɾ eɪ ŋ
correspondeu|k ˌu ʁ ɨ ʃ p u ŋ d ˈeʊ
correspondi|k ˌu ʁ ɨ ʃ p u ŋ d ˈi
correspondia|k ˌu ʁ ɨ ʃ p u ŋ d ˈi  ɐ
correspondiam|k ˌu ʁ ɨ ʃ p u ŋ d ˈi  ɐ̃ʊ̃
correspondido|k ˌu ʁ ɨ ʃ p u ŋ d ˈi d ʊ
correspondência|k ˌu ʁ ɨ ʃ p u ŋ d ˈeɪ ŋ s j ɐ
correspondências|k ˌu ʁ ɨ ʃ p u ŋ d ˈeɪ ŋ s i  ɐ ʃ
corresponsáveis|k ˌu ʁ ɨ ʃ p u ŋ s ˈa v eɪ ʃ
corresse|k ˌu ʁ ˈe s ɨ
corressem|k ˌu ʁ ˈe s eɪ ŋ
correta|k ˌu ʁ ˈɛ t ɐ
corretagem|k ˌu ʁ ɨ t ˈa ʒ eɪ ŋ
corretamente|k ˌu ʁ ɨ t ɐ m ˈeɪ ŋ t ɨ
corretas|k ˌu ʁ ˈe t ɐ ʃ
corretiva|k ˌu ʁ ɨ t ˈi v ɐ
corretivas|k ˌu ʁ ɨ t ˈi v ɐ ʃ
corretivo|k ˌu ʁ ɨ t ˈi v ʊ
correto|k ˌu ʁ ˈɛ t ʊ
corretor|k ˌu ʁ ɨ t ˈo ɹ
corretora|k ˌu ʁ ɨ t ˈo ɾ ɐ
corretoras|k ˌu ʁ ɨ t ˈo ɾ ɐ ʃ
corretores|k ˌu ʁ ɨ t ˈo ɾ ɨ ʃ
corretos|k ˌu ʁ ˈe t ʊ ʃ
correto”|k ˌu ʁ ˈɛ t ʊ
correu|k u ʁ ˈeʊ
correção|k ˌu ʁ ɨ s ˈɐ̃ʊ̃
correções|k ˌu ʁ ɨ s ˈõ j ʃ
corri|k u ʁ ˈi
corria|k ˌu ʁ ˈi  ɐ
corriam|k ˌu ʁ ˈi  ɐ̃ʊ̃
corrida|k ˌu ʁ ˈi d ɐ
corridas|k ˌu ʁ ˈi d ɐ ʃ
corridinha|k ˌu ʁ i d ˈi ɲ ɐ
corrido|k ˌu ʁ ˈi d ʊ
corridos|k ˌu ʁ ˈi d ʊ ʃ
corrientes|k ˌu ʁ i  ˈeɪ ŋ t ɨ ʃ
corriere|k ˌu ʁ i  ˈe ɾ ɨ
corrige|k ˌu ʁ ˈi ʒ ɨ
corrigida|k ˌu ʁ i ʒ ˈi d ɐ
corrigidas|k ˌu ʁ i ʒ ˈi d ɐ ʃ
corrigido|k ˌu ʁ i ʒ ˈi d ʊ
corrigidos|k ˌu ʁ i ʒ ˈi d ʊ ʃ
corrigindo|k ˌu ʁ i ʒ ˈi ŋ d ʊ
corrigir|k ˌu ʁ i ʒ ˈi ɹ
corrigiu|k ˌu ʁ i ʒ ˈiʊ
corrigí|k ˌu ʁ i ʒ ˈi
corrija|k ˌu ʁ ˈi ʒ ɐ
corrimento|k ˌu ʁ i m ˈeɪ ŋ t ʊ
corrimão|k ˌu ʁ i m ˈɐ̃ʊ̃
corrimãos|k ˌu ʁ i m ˈɐ̃ʊ̃ ʃ
corrobora|k ˌu ʁ u b ˈɔ ɾ ɐ
corroboradas|k ˌu ʁ u b u ɾ ˈa d ɐ ʃ
corroborado|k ˌu ʁ u b u ɾ ˈa d ʊ
corroborar|k ˌu ʁ u b u ɾ ˈa ɹ
corroboraram|k ˌu ʁ u b u ɾ ˈa ɾ ɐ̃ʊ̃
corrobou|k ˌu ʁ u b ˈo w
corroendo|k ˌu ʁ u ˈeɪ ŋ d ʊ
corroer|k ˌu ʁ u ˈe ɹ
corrompeu|k ˌu ʁ u m p ˈeʊ
corrompida|k ˌu ʁ u m p ˈi d ɐ
corrompidos|k ˌu ʁ u m p ˈi d ʊ ʃ
corroído|k ˌu ʁ u ˈi d ʊ
corrupião|k ˌu ʁ u p i  ˈɐ̃ʊ̃
corruptora|k ˌu ʁ u p t ˈo ɾ ɐ
corruptos|k ˌu ʁ ˈu p t ʊ ʃ
corrupção|k ˌu ʁ u p s ˈɐ̃ʊ̃
corrupção’|k ˌu ʁ u p s ˈɐ̃ʊ̃
corrupção”|k ˌu ʁ u p s ˈɐ̃ʊ̃
corry|k ˈo ʁ i
corrêa|k ˌu ʁ ˈe ɐ
corrí|k u ʁ ˈi
corríamos|k ˌu ʁ ˈi  ɐ̃ m ʊ ʃ
corrói|k u ʁ ˈɔɪ
corsa|k ˈɔ ɾ ə s ɐ
corsan|k u ɾ ə s ˈɐ̃ ŋ
corsário|k ˌu ɾ ə s ˈa ɾ j ʊ
corsários|k ˌu ɾ ə s ˈa ɾ iʊ ʃ
corta|k ˈɔ ɾ ə t ɐ
cortada|k ˌu ɾ ə t ˈa d ɐ
cortadas|k ˌu ɾ ə t ˈa d ɐ ʃ
cortado|k ˌu ɾ ə t ˈa d ʊ
cortados|k ˌu ɾ ə t ˈa d ʊ ʃ
cortado”|k ˌu ɾ ə t ˈa d ʊ
cortam|k ˈɔ ɾ ə t ɐ̃ʊ̃
cortando|k ˌu ɾ ə t ˈɐ̃ ŋ d ʊ
cortantes|k ˌu ɾ ə t ˈɐ̃ ŋ t ɨ ʃ
cortar|k u ɾ ə t ˈa ɹ
cortaram|k ˌu ɾ ə t ˈa ɾ ɐ̃ʊ̃
cortarem|k ˌu ɾ ə t ˈa ɾ eɪ ŋ
cortariam|k ˌu ɾ ə t ɐ ɾ ˈi  ɐ̃ʊ̃
cortava|k ˌu ɾ ə t ˈa v ɐ
corte|k ˈɔ ɾ ə t ɨ
cortei|k u ɾ ə t ˈeɪ
corteja|k ˌu ɾ ə t ˈe ʒ ɐ
cortejada|k ˌu ɾ ə t ɨ ʒ ˈa d ɐ
cortejado|k ˌu ɾ ə t ɨ ʒ ˈa d ʊ
cortejar|k ˌu ɾ ə t ɨ ʒ ˈa ɹ
cortejavam|k ˌu ɾ ə t ɨ ʒ ˈa v ɐ̃ʊ̃
cortejo|k ˌu ɾ ə t ˈe ʒ ʊ
cortejos|k ˌu ɾ ə t ˈe ʒ ʊ ʃ
cortejá|k ˌu ɾ ə t ɨ ʒ ˈa
cortes|k ˈo ɾ ə t ɨ ʃ
cortesia|k ˌu ɾ ə t ɨ z ˈi  ɐ
cortesias|k ˌu ɾ ə t ɨ z ˈi  ɐ ʃ
cortez|k u ɾ ə t ˈe ʃ
corticoide|k ˌu ɾ ə t i k ˈɔɪ d ɨ
cortina|k ˌu ɾ ə t ˈi n ɐ
cortinas|k ˌu ɾ ə t ˈi n ɐ ʃ
cortisol|k ˌu ɾ ə t i z ˈɔ l
cortiça|k ˌu ɾ ə t ˈi s ɐ
cortou|k u ɾ ə t ˈo w
cortuluá|k ˌu ɾ ə t u l w ˈa
cortês|k u ɾ ə t ˈe ʃ
coruja|k ˌu ɾ ˈu ʒ ɐ
corujas|k ˌu ɾ ˈu ʒ ɐ ʃ
corujo|k ˌu ɾ ˈu ʒ ʊ
corujão|k ˌu ɾ u ʒ ˈɐ̃ʊ̃
corumbiara|k ˌu ɾ ũ m b i  ˈa ɾ ɐ
corumbá|k ˌu ɾ ũ m b ˈa
corunha|k ˌu ɾ ˈũ ɲ ɐ
coruripe|k ˌu ɾ u ɾ ˈi p ɨ
corvando|k ˌu ɾ ə v ˈɐ̃ ŋ d ʊ
corveta|k ˌu ɾ ə v ˈe t ɐ
corvo|k ˈo ɾ ə v ʊ
corvos|k ˈɔ ɾ ə v ʊ ʃ
coréia|k ˌu ɾ ˈɛɪ ɐ
cos|k ˈʊ ʃ
cosalan|k ˌu z ɐ l ˈɐ̃ ŋ
cosanpa|k ˌu z ˈɐ̃ ŋ p ɐ
cosco|k ˈo ʃ k ʊ
cosec|k u z ˈe k
cosgrave|k ˌu ʒ ɡ ɹ ˈa v ɨ
cosia|k ˌu z ˈi  ɐ
cosias|k ˌu z ˈi  ɐ ʃ
cosidas|k ˌu z ˈi d ɐ ʃ
cosme|k ˈɔ ʒ m ɨ
cosmo|k ˈɔ ʒ m ʊ
cosmologia|k ˌu ʒ m u l u ʒ ˈi  ɐ
cosmológico|k ˌu ʒ m u l ˈɔ ʒ i k ʊ
cosmonautas|k ˌu ʒ m u n ˈaʊ t ɐ ʃ
cosmopolita|k ˌu ʒ m u p u l ˈi t ɐ
cosmorama|k ˌu ʒ m u ɾ ˈɐ̃ m ɐ
cosmos|k ˈo ʒ m ʊ ʃ
cosmética|k ˌu ʒ m ˈɛ t i k ɐ
cosméticos|k ˌu ʒ m ˈɛ t i k ʊ ʃ
cosmópolis|k ˌu ʒ m ˈɔ p u l i ʃ
cosplay|k u ʃ p l ˈeɪ
cosquinha|k ˌu ʃ k ˈi ɲ ɐ
cosquinhas|k ˌu ʃ k ˈi ɲ ɐ ʃ
cossa|k ˈɔ s ɐ
cost|k ˈo ʃ t
costa|k ˈɔ ʃ t ɐ
costas|k ˈo ʃ t ɐ ʃ
costas”|k ˈɔ ʃ t ɐ ʃ
costa”|k ˈɔ ʃ t ɐ
costeira|k ˌu ʃ t ˈeɪ ɾ ɐ
costeiras|k ˌu ʃ t ˈeɪ ɾ ɐ ʃ
costeiros|k ˌu ʃ t ˈeɪ ɾ ʊ ʃ
costela|k ˌu ʃ t ˈɛ l ɐ
