$|d ˈo l a
inapokutana|ˌi n a p ˌo k u t ˈa n a
inapoongeza|ˌi n a p ˌo o ŋ ɡ ˈe z a
inapoongezwa|ˌi n a p ˌo o ŋ ɡ ˈe z w a
inapopaa|ˌi n a p o p ˈa a
inapopanda|ˌi n a p o p ˈa n d a
inapopata|ˌi n a p o p ˈa t a
inapopokea|ˌi n a p ˌo p o k ˈe a
inapopokelewa|ˌi n a p ˌo p o k e l ˈe w a
inapopungua|ˌi n a p ˌo p u ŋ ɡ ˈu a
inaposababisha|ˌi n a p ˌo s a b a b ˈi ʃ a
inaposhindwa|ˌi n a p o ʃ ˈi n d w a
inaposonga|ˌi n a p o s ˈo ŋ ɡ a
inaposuguliwa|ˌi n a p ˌo s u ɡ u l ˈi w a
inapotea|ˌi n a p o t ˈe a
inapotengezwa|ˌi n a p ˌo t e ŋ ɡ ˈe z w a
inapoteza|ˌi n a p o t ˈe z a
inapotokea|ˌi n a p ˌo t o k ˈe a
inapotolewa|ˌi n a p ˌo t o l ˈe w a
inapotumika|ˌi n a p ˌo t u m ˈi k a
inapoungana|ˌi n a p ˌo u ŋ ɡ ˈa n a
inapounganika|ˌi n a p ˌo u ŋ ɡ a n ˈi k a
inapowasilishwa|ˌi n a p ˌo w a s i l ˈi ʃ w a
inapoyeyuka|ˌi n a p ˌo j e j ˈu k a
inapozuia|ˌi n a p ˌo z u ˈi a
inapulizwa|ˌi n a p u l ˈi z w a
inapungua|ˌi n a p u ŋ ɡ ˈu a
inapunguza|ˌi n a p u ŋ ɡ ˈu z a
inapunguzwa|ˌi n a p u ŋ ɡ ˈu z w a
inarahisisha|ˌi n a r ˌa h i s ˈi ʃ a
inaratibu|ˌi n a r a t ˈi b u
inarejelea|ˌi n a r ˌe ɟ e l ˈe a
inarisasi|ˌi n a r i s ˈa s i
inarudi|ˌi n a r ˈu d i
inaruhusiwa|ˌi n a r ˌu h u s ˈi w a
inaruhusu|ˌi n a r u h ˈu s u
inarusha|ˌi n a r ˈu ʃ a
inasababisha|ˌi n a s ˌa b a b ˈi ʃ a
inasababishwa|ˌi n a s ˌa b a b ˈi ʃ w a
inasadikika|ˌi n a s ˌa d i k ˈi k a
inasaidia|ˌi n a s ˌa i d ˈi a
inasaidiwa|ˌi n a s ˌa i d ˈi w a
inase|i n ˈa s e
inasema|ˌi n a s ˈe m a
inasemakana|ˌi n a s ˌe m a k ˈa n a
inasemekana|ˌi n a s ˌe m e k ˈa n a
inashambuliwa|ˌi n a ʃ ˌa m b u l ˈi w a
inashamirisha|ˌi n a ʃ ˌa m i r ˈi ʃ a
inashangaza|ˌi n a ʃ a ŋ ɡ ˈa z a
inashauri|ˌi n a ʃ a ˈu r i
inashauriwa|ˌi n a ʃ ˌa u r ˈi w a
inashika|ˌi n a ʃ ˈi k a
inashikiliwa|ˌi n a ʃ ˌi k i l ˈi w a
inashinda|ˌi n a ʃ ˈi n d a
inashinikiza|ˌi n a ʃ ˌi n i k ˈi z a
inashiria|ˌi n a ʃ i r ˈi a
inashiriki|ˌi n a ʃ i r ˈi k i
inashirikiana|ˌi n a ʃ ˌi r i k i ˈa n a
inashirikisha|ˌi n a ʃ ˌi r i k ˈi ʃ a
inashirikishwa|ˌi n a ʃ ˌi r i k ˈi ʃ w a
inashughulika|ˌi n a ʃ ˌu ɣ u l ˈi k a
inashughulikia|ˌi n a ʃ ˌu ɣ u l i k ˈi a
inashuhudiwa|ˌi n a ʃ ˌu h u d ˈi w a
inashushwa|ˌi n a ʃ ˈu ʃ w a
inashutumiwa|ˌi n a ʃ ˌu t u m ˈi w a
inasifika|ˌi n a s i f ˈi k a
inasikika|ˌi n a s i k ˈi k a
inasikitisha|ˌi n a s ˌi k i t ˈi ʃ a
inasikiwa|ˌi n a s i k ˈi w a
inasimama|ˌi n a s i m ˈa m a
inasimamia|ˌi n a s ˌi m a m ˈi a
inasimamiwa|ˌi n a s ˌi m a m ˈi w a
inasimulia|ˌi n a s ˌi m u l ˈi a
inasimuliwa|ˌi n a s ˌi m u l ˈi w a
inasoma|ˌi n a s ˈo m a
inasomba|ˌi n a s ˈo m b a
inasomewa|ˌi n a s o m ˈe w a
inastahili|ˌi n a s t a h ˈi l i
inastarehe|ˌi n a s t a r ˈe h e
inastawi|ˌi n a s t ˈa w i
inasubiri|ˌi n a s u b ˈi r i
inasukuma|ˌi n a s u k ˈu m a
inatabiriwa|ˌi n a t ˌa b i r ˈi w a
inatafsiriwa|ˌi n a t ˌa f s i r ˈi w a
inatafuta|ˌi n a t a f ˈu t a
inatafutwa|ˌi n a t a f ˈu t w a
inataja|ˌi n a t ˈa ɟ a
inatajika|ˌi n a t a ɟ ˈi k a
inatajwa|ˌi n a t ˈa ɟ u a
inatakiwa|ˌi n a t a k ˈi w a
inatamani|ˌi n a t a m ˈa n i
inatambua|ˌi n a t a m b ˈu a
inatambulika|ˌi n a t ˌa m b u l ˈi k a
inatamkwa|ˌi n a t ˈa m k w a
inatandikwa|ˌi n a t a n d ˈi k w a
inatangaza|ˌi n a t a ŋ ɡ ˈa z a
inatarajiwa|ˌi n a t ˌa r a ɟ ˈi w a
inatawala|ˌi n a t a w ˈa l a
inatawaliwa|ˌi n a t ˌa w a l ˈi w a
inatazama|ˌi n a t a z ˈa m a
inatazamiwa|ˌi n a t ˌa z a m ˈi w a
inatazamwa|ˌi n a t a z ˈa m w a
inategema|ˌi n a t e ɡ ˈe m a
inategemea|ˌi n a t ˌe ɡ e m ˈe a
inategemewa|ˌi n a t ˌe ɡ e m ˈe w a
inatekeleza|ˌi n a t ˌe k e l ˈe z a
inatekelezwa|ˌi n a t ˌe k e l ˈe z w a
inateketea|ˌi n a t ˌe k e t ˈe a
inatelemkia|ˌi n a t ˌe l e m k ˈi a
inateleza|ˌi n a t e l ˈe z a
inatembea|ˌi n a t e m b ˈe a
inatembelewa|ˌi n a t ˌe m b e l ˈe w a
inatenda|ˌi n a t ˈe n d a
inatendeka|ˌi n a t e n d ˈe k a
inatengeneza|ˌi n a t ˌe ŋ ɡ e n ˈe z a
inatengenezwa|ˌi n a t ˌe ŋ ɡ e n ˈe z w a
inateremsha|ˌi n a t e r ˈe m ʃ a
inatetemeka|ˌi n a t ˌe t e m ˈe k a
inateua|ˌi n a t e ˈu a
inathamini|ˌi n a θ a m ˈi n i
inathibitisha|ˌi n a θ ˌi b i t ˈi ʃ a
inatibika|ˌi n a t i b ˈi k a
inatikisika|ˌi n a t ˌi k i s ˈi k a
inatimiza|ˌi n a t i m ˈi z a
inatiririkia|ˌi n a t ˌi r i r i k ˈi a
inatisha|ˌi n a t ˈi ʃ a
inatizamwa|ˌi n a t i z ˈa m w a
inatoa|ˌi n a t ˈo a
inatofautiana|ˌi n a t ˌo f a ˌu t i ˈa n a
inatofautisha|ˌi n a t ˌo f a u t ˈi ʃ a
inatoka|ˌi n a t ˈo k a
inatokana|ˌi n a t o k ˈa n a
inatokea|ˌi n a t o k ˈe a
inatokeza|ˌi n a t o k ˈe z a
inatolewa|ˌi n a t o l ˈe w a
inatosha|ˌi n a t ˈo ʃ a
inatotoka|ˌi n a t o t ˈo k a
inatueleza|ˌi n a t ˌu e l ˈe z a
inatueneza|ˌi n a t ˌu e n ˈe z a
inatumia|ˌi n a t u m ˈi a
inatumika|ˌi n a t u m ˈi k a
inatunaonyeshwa|ˌi n a t ˌu n a o ɲ ˈe ʃ w a
inatunga|ˌi n a t ˈu ŋ ɡ a
inatunza|ˌi n a t ˈu n z a
inatunzwa|ˌi n a t ˈu n z w a
inaturudisha|ˌi n a t ˌu r u d ˈi ʃ a
inaturuhusu|ˌi n a t ˌu r u h ˈu s u
inatusaidia|ˌi n a t ˌu s a i d ˈi a
inatwaa|ˌi n a t w ˈa a
inaua|ˌi n a ˈu a
inaudhi|ˌi n a ˈu ð i
inaumizwa|ˌi n a u m ˈi z w a
inaunda|ˌi n a ˈu n d a
inaundwa|ˌi n a ˈu n d w a
inaunga|ˌi n a ˈu ŋ ɡ a
inaungana|ˌi n a u ŋ ɡ ˈa n a
inaunganisha|ˌi n a ˌu ŋ ɡ a n ˈi ʃ a
inaunganishwa|ˌi n a ˌu ŋ ɡ a n ˈi ʃ w a
inauwezekano|ˌi n a ˌu w e z e k ˈa n o
inauza|ˌi n a ˈu z a
inauzwa|ˌi n a ˈu z w a
inavivutio|ˌi n a v ˌi v u t ˈi o
inavuja|ˌi n a v ˈu ɟ a
inavuka|ˌi n a v ˈu k a
inavumilia|ˌi n a v ˌu m i l ˈi a
inavunja|ˌi n a v ˈu ɲ ɟ a
inavunjika|ˌi n a v u ɲ ɟ ˈi k a
inavunwa|ˌi n a v ˈu n w a
inavuta|ˌi n a v ˈu t a
inavutia|ˌi n a v u t ˈi a
inavyo|i n ˈa v j o
inavyobadilika|ˌi n a v j ˌo b a d i l ˈi k a
inavyodhihirika|ˌi n a v j ˌo ð i h i r ˈi k a
inavyodokezwa|ˌi n a v j ˌo d o k ˈe z w a
inavyoelezwa|ˌi n a v j ˌo e l ˈe z w a
inavyoendelea|ˌi n a v j ˌo e n d e l ˈe a
inavyoendeshwa|ˌi n a v j ˌo e n d ˈe ʃ w a
inavyoenea|ˌi n a v j ˌo e n ˈe a
inavyofafanuliwa|ˌi n a v j ˌo f a f ˌa n u l ˈi w a
inavyofanya|ˌi n a v j o f ˈa ɲ a
inavyofanyika|ˌi n a v j ˌo f a ɲ ˈi k a
inavyohitajika|ˌi n a v j ˌo h i t a ɟ ˈi k a
inavyojulikana|ˌi n a v j ˌo ɟ u l i k ˈa n a
inavyokwenda|ˌi n a v j o k w ˈe n d a
inavyoondolea|ˌi n a v j ˌo o n d o l ˈe a
inavyoonekana|ˌi n a v j ˌo o n e k ˈa n a
inavyoongozwa|ˌi n a v j ˌo o ŋ ɡ ˈo z w a
inavyoonyeshwa|ˌi n a v j ˌo o ɲ ˈe ʃ w a
inavyopanuka|ˌi n a v j ˌo p a n ˈu k a
inavyopatikana|ˌi n a v j ˌo p a t i k ˈa n a
inavyosambaa|ˌi n a v j ˌo s a m b ˈa a
inavyosemekana|ˌi n a v j ˌo s e m e k ˈa n a
inavyotaajiwa|ˌi n a v j ˌo t a a ɟ ˈi w a
inavyotakiwa|ˌi n a v j ˌo t a k ˈi w a
inavyotekelezwa|ˌi n a v j ˌo t e k e l ˈe z w a
inavyotokea|ˌi n a v j ˌo t o k ˈe a
inavyotumika|ˌi n a v j ˌo t u m ˈi k a
inavyotumiwa|ˌi n a v j ˌo t u m ˈi w a
inavyovishughulikia|ˌi n a v j ˌo v i ʃ ˌu ɣ u l i k ˈi a
inavyoweza|ˌi n a v j o w ˈe z a
inawaacha|ˌi n a w a ˈa tʃ a
inawaalika|ˌi n a w ˌa a l ˈi k a
inawaashiria|ˌi n a w ˌa a ʃ i r ˈi a
inawachanganya|ˌi n a w ˌa tʃ a ŋ ɡ ˈa ɲ a
inawafaa|ˌi n a w a f ˈa a
inawafanya|ˌi n a w a f ˈa ɲ a
inawafungia|ˌi n a w ˌa f u ŋ ɡ ˈi a
inawahamasisha|ˌi n a w ˌa h a m a s ˈi ʃ a
inawajua|ˌi n a w a ɟ ˈu a
inawajumuisha|ˌi n a w ˌa ɟ u m u ˈi ʃ a
inawakilisha|ˌi n a w ˌa k i l ˈi ʃ a
inawaona|ˌi n a w a ˈo n a
inawapanga|ˌi n a w a p ˈa ŋ ɡ a
inawaruhusu|ˌi n a w ˌa r u h ˈu s u
inawasafirisha|ˌi n a w ˌa s a f i r ˈi ʃ a
inawasilishwa|ˌi n a w ˌa s i l ˈi ʃ w a
inawasukuma|ˌi n a w ˌa s u k ˈu m a
inawataja|ˌi n a w a t ˈa ɟ a
inawatia|ˌi n a w a t ˈi a
inawaya|ˌi n a w ˈa j a
inaweka|ˌi n a w ˈe k a
inaweza|ˌi n a w ˈe z a
inawezahitaji|ˌi n a w ˌe z a h i t ˈa ɟ i
inawezakana|ˌi n a w ˌe z a k ˈa n a
inawezakua|ˌi n a w ˌe z a k ˈu a
inawezakutengwa|ˌi n a w ˌe z a k u t ˈe ŋ ɡ w a
inawezakuwa|ˌi n a w ˌe z a k ˈu w a
inawezeka|ˌi n a w e z ˈe k a
inawezekana|ˌi n a w ˌe z e k ˈa n a
inawezekena|ˌi n a w ˌe z e k ˈe n a
inawezesha|ˌi n a w e z ˈe ʃ a
inawiana|ˌi n a w i ˈa n a
inayafuatia|ˌi n a j ˌa f u a t ˈi a
inayeyushwa|ˌi n a j e j ˈu ʃ w a
inayo|i n ˈa j o
inayoadhimishwa|ˌi n a j ˌo a ð i m ˈi ʃ w a
inayoagizwa|ˌi n a j ˌo a ɡ ˈi z w a
inayoaminika|ˌi n a j ˌo a m i n ˈi k a
inayoamua|ˌi n a j ˌo a m ˈu a
inayoangalia|ˌi n a j ˌo a ŋ ɡ a l ˈi a
inayoanza|ˌi n a j o ˈa n z a
inayoashiria|ˌi n a j ˌo a ʃ i r ˈi a
inayoathiri|ˌi n a j ˌo a θ ˈi r i
inayoathiriwa|ˌi n a j ˌo a θ i r ˈi w a
inayobadilikabadilika|ˌi n a j ˌo b a d ˌi l i k ˌa b a d i l ˈi k a
inayobaki|ˌi n a j o b ˈa k i
inayobeba|ˌi n a j o b ˈe b a
inayochaguliwa|ˌi n a j ˌo tʃ a ɡ u l ˈi w a
inayochangia|ˌi n a j ˌo tʃ a ŋ ɡ ˈi a
inayochapishwa|ˌi n a j ˌo tʃ a p ˈi ʃ w a
inayochelewesha|ˌi n a j ˌo tʃ e l e w ˈe ʃ a
inayochemka|ˌi n a j o tʃ ˈe m k a
inayocheza|ˌi n a j o tʃ ˈe z a
inayochezacheza|ˌi n a j ˌo tʃ e z a tʃ ˈe z a
inayochnganya|ˌi n a j o tʃ ŋ ɡ ˈa ɲ a
inayochomeka|ˌi n a j ˌo tʃ o m ˈe k a
inayochukua|ˌi n a j ˌo tʃ u k ˈu a
inayochunguza|ˌi n a j ˌo tʃ u ŋ ɡ ˈu z a
inayodai|ˌi n a j o d ˈa i
inayodhahania|ˌi n a j ˌo ð a h a n ˈi a
inayodokeza|ˌi n a j ˌo d o k ˈe z a
inayoegemea|ˌi n a j ˌo e ɡ e m ˈe a
inayoelekea|ˌi n a j ˌo e l e k ˈe a
inayoeleweka|ˌi n a j ˌo e l e w ˈe k a
inayoendelea|ˌi n a j ˌo e n d e l ˈe a
inayoendeleza|ˌi n a j ˌo e n d e l ˈe z a
inayoendeshwa|ˌi n a j ˌo e n d ˈe ʃ w a
inayofaa|ˌi n a j o f ˈa a
inayofahamika|ˌi n a j ˌo f a h a m ˈi k a
inayofanana|ˌi n a j ˌo f a n ˈa n a
inayofanikisha|ˌi n a j ˌo f a n i k ˈi ʃ a
inayofanyika|ˌi n a j ˌo f a ɲ ˈi k a
inayofanywa|ˌi n a j o f ˈa ɲ u a
inayofikia|ˌi n a j ˌo f i k ˈi a
inayofikiriwa|ˌi n a j ˌo f i k i r ˈi w a
inayofugwa|ˌi n a j o f ˈu ɡ w a
inayofundishwa|ˌi n a j ˌo f u n d ˈi ʃ w a
inayofunguliwa|ˌi n a j ˌo f u ŋ ɡ u l ˈi w a
inayofungwa|ˌi n a j o f ˈu ŋ ɡ w a
inayogandisha|ˌi n a j ˌo ɡ a n d ˈi ʃ a
inayogawanyisha|ˌi n a j ˌo ɡ a w a ɲ ˈi ʃ a
inayoguswa|ˌi n a j o ɡ ˈu s w a
inayohadithia|ˌi n a j ˌo h a d i θ ˈi a
inayoharibiwa|ˌi n a j ˌo h a r i b ˈi w a
inayohatarisha|ˌi n a j ˌo h a t a r ˈi ʃ a
inayoheshimika|ˌi n a j ˌo h e ʃ i m ˈi k a
inayohifadhi|ˌi n a j ˌo h i f ˈa ð i
inayohifadhiwa|ˌi n a j ˌo h i f a ð ˈi w a
inayohitaji|ˌi n a j ˌo h i t ˈa ɟ i
inayohitajika|ˌi n a j ˌo h i t a ɟ ˈi k a
inayohitimisha|ˌi n a j ˌo h i t i m ˈi ʃ a
inayohudumia|ˌi n a j ˌo h u d u m ˈi a
inayohusisha|ˌi n a j ˌo h u s ˈi ʃ a
inayohusishwa|ˌi n a j ˌo h u s ˈi ʃ w a
inayoikamilisha|ˌi n a j ˌo i k ˌa m i l ˈi ʃ a
inayoingia|ˌi n a j ˌo i ŋ ɡ ˈi a
inayoipa|ˌi n a j o ˈi p a
inayoishia|ˌi n a j ˌo i ʃ ˈi a
inayoita|ˌi n a j o ˈi t a
inayoitwa|ˌi n a j o ˈi t w a
inayojaa|ˌi n a j o ɟ ˈa a
inayojadiliwa|ˌi n a j ˌo ɟ a d i l ˈi w a
inayojali|ˌi n a j o ɟ ˈa l i
inayojaribu|ˌi n a j ˌo ɟ a r ˈi b u
inayojihusisha|ˌi n a j ˌo ɟ i h u s ˈi ʃ a
inayojikita|ˌi n a j ˌo ɟ i k ˈi t a
inayojitawala|ˌi n a j ˌo ɟ i t a w ˈa l a
inayojitegemea|ˌi n a j ˌo ɟ i t ˌe ɡ e m ˈe a
inayojitekeleza|ˌi n a j ˌo ɟ i t ˌe k e l ˈe z a
inayojitokeza|ˌi n a j ˌo ɟ i t o k ˈe z a
inayojulikana|ˌi n a j ˌo ɟ u l i k ˈa n a
inayojumuisha|ˌi n a j ˌo ɟ u m u ˈi ʃ a
inayokaa|ˌi n a j o k ˈa a
inayokadiria|ˌi n a j ˌo k a d i r ˈi a
inayokaliwa|ˌi n a j ˌo k a l ˈi w a
inayokamilisha|ˌi n a j ˌo k a m i l ˈi ʃ a
inayokandwa|ˌi n a j o k ˈa n d w a
inayokaribishwa|ˌi n a j ˌo k a r i b ˈi ʃ w a
inayokatisha|ˌi n a j ˌo k a t ˈi ʃ a
inayokatiza|ˌi n a j ˌo k a t ˈi z a
inayokingwa|ˌi n a j o k ˈi ŋ ɡ w a
inayokisiwa|ˌi n a j ˌo k i s ˈi w a
inayokumbukwa|ˌi n a j ˌo k u m b ˈu k w a
inayokusudiwa|ˌi n a j ˌo k u s u d ˈi w a
inayokuwa|ˌi n a j o k ˈu w a
inayolenga|ˌi n a j o l ˈe ŋ ɡ a
inayolengwa|ˌi n a j o l ˈe ŋ ɡ w a
inayoleta|ˌi n a j o l ˈe t a
inayoletwa|ˌi n a j o l ˈe t w a
inayolinda|ˌi n a j o l ˈi n d a
inayolingana|ˌi n a j ˌo l i ŋ ɡ ˈa n a
inayolinganisha|ˌi n a j ˌo l i ŋ ɡ a n ˈi ʃ a
inayolipuka|ˌi n a j ˌo l i p ˈu k a
inayolisha|ˌi n a j o l ˈi ʃ a
inayoliunganisha|ˌi n a j ˌo l i ˌu ŋ ɡ a n ˈi ʃ a
inayomaanisha|ˌi n a j ˌo m a a n ˈi ʃ a
inayomamlaka|ˌi n a j ˌo m a m l ˈa k a
inayomenyuka|ˌi n a j ˌo m e ɲ ˈu k a
inayomiliki|ˌi n a j ˌo m i l ˈi k i
inayomilikiwa|ˌi n a j ˌo m i l i k ˈi w a
inayomkabili|ˌi n a j ˌo m  k a b ˈi l i
inayompa|ˌi n a j ˈo m p a
inayompokea|ˌi n a j ˌo m p o k ˈe a
inayomstahili|ˌi n a j ˌo m s t a h ˈi l i
inayomtukuza|ˌi n a j ˌo m t u k ˈu z a
inayomuonyesha|ˌi n a j ˌo m u o ɲ ˈe ʃ a
inayomwagika|ˌi n a j ˌo m w a ɡ ˈi k a
inayomwagikia|ˌi n a j ˌo m w a ɡ i k ˈi a
inayomwagilia|ˌi n a j ˌo m w a ɡ i l ˈi a
inayomwagwa|ˌi n a j o m w ˈa ɡ w a
inayomwonyesha|ˌi n a j ˌo m w o ɲ ˈe ʃ a
inayong'aa|ˌi n a j o ŋ ˈa a
inayoniangukia|ˌi n a j ˌo n i ˌa ŋ ɡ u k ˈi a
inayonyesha|ˌi n a j o ɲ ˈe ʃ a
inayonywesha|ˌi n a j ˌo ɲ u ˈe ʃ a
inayoombwa|ˌi n a j o ˈo m b w a
inayoondoa|ˌi n a j ˌo o n d ˈo a
inayoonekana|ˌi n a j ˌo o n e k ˈa n a
inayoonesha|ˌi n a j ˌo o n ˈe ʃ a
inayoongeza|ˌi n a j ˌo o ŋ ɡ ˈe z a
inayoongezeka|ˌi n a j ˌo o ŋ ɡ e z ˈe k a
inayoongoza|ˌi n a j ˌo o ŋ ɡ ˈo z a
inayoongozana|ˌi n a j ˌo o ŋ ɡ o z ˈa n a
inayoongozwa|ˌi n a j ˌo o ŋ ɡ ˈo z w a
inayoonyesha|ˌi n a j ˌo o ɲ ˈe ʃ a
inayoota|ˌi n a j o ˈo t a
inayopakana|ˌi n a j ˌo p a k ˈa n a
inayopanda|ˌi n a j o p ˈa n d a
inayopanga|ˌi n a j o p ˈa ŋ ɡ a
inayopanuka|ˌi n a j ˌo p a n ˈu k a
inayopashwa|ˌi n a j o p ˈa ʃ w a
inayopasuka|ˌi n a j ˌo p a s ˈu k a
inayopaswa|ˌi n a j o p ˈa s w a
inayopata|ˌi n a j o p ˈa t a
inayopatikana|ˌi n a j ˌo p a t i k ˈa n a
inayopeana|ˌi n a j ˌo p e ˈa n a
inayopeleka|ˌi n a j ˌo p e l ˈe k a
inayopelekea|ˌi n a j ˌo p e l e k ˈe a
inayopenda|ˌi n a j o p ˈe n d a
inayopendelewa|ˌi n a j ˌo p e n d e l ˈe w a
inayopendeza|ˌi n a j ˌo p e n d ˈe z a
inayopendwa|ˌi n a j o p ˈe n d w a
inayopewa|ˌi n a j o p ˈe w a
inayopigwa|ˌi n a j o p ˈi ɡ w a
inayopinga|ˌi n a j o p ˈi ŋ ɡ a
inayopita|ˌi n a j o p ˈi t a
inayopitika|ˌi n a j ˌo p i t ˈi k a
inayopokelewa|ˌi n a j ˌo p o k e l ˈe w a
inayopungua|ˌi n a j ˌo p u ŋ ɡ ˈu a
inayopunguza|ˌi n a j ˌo p u ŋ ɡ ˈu z a
inayoratibu|ˌi n a j ˌo r a t ˈi b u
inayorudi|ˌi n a j o r ˈu d i
inayoruka|ˌi n a j o r ˈu k a
inayosababisha|ˌi n a j ˌo s a b a b ˈi ʃ a
inayosababishwa|ˌi n a j ˌo s a b a b ˈi ʃ w a
inayosabisha|ˌi n a j ˌo s a b ˈi ʃ a
inayosadikiwa|ˌi n a j ˌo s a d i k ˈi w a
inayosafirisha|ˌi n a j ˌo s a f i r ˈi ʃ a
inayosafirishwa|ˌi n a j ˌo s a f i r ˈi ʃ w a
inayosaidia|ˌi n a j ˌo s a i d ˈi a
inayosalia|ˌi n a j ˌo s a l ˈi a
inayosambaa|ˌi n a j ˌo s a m b ˈa a
inayosema|ˌi n a j o s ˈe m a
inayosemekana|ˌi n a j ˌo s e m e k ˈa n a
inayoshambulia|ˌi n a j ˌo ʃ a m b u l ˈi a
inayoshikana|ˌi n a j ˌo ʃ i k ˈa n a
inayoshindana|ˌi n a j ˌo ʃ i n d ˈa n a
inayoshuhurikia|ˌi n a j ˌo ʃ u h ˌu r i k ˈi a
inayosifika|ˌi n a j ˌo s i f ˈi k a
inayosifiwa|ˌi n a j ˌo s i f ˈi w a
inayosimulia|ˌi n a j ˌo s i m u l ˈi a
inayosisitiza|ˌi n a j ˌo s i s i t ˈi z a
inayosonga|ˌi n a j o s ˈo ŋ ɡ a
inayostawi|ˌi n a j o s t ˈa w i
inayostawi'|ˌi n a j o s t ˈa w i
inayosukuma|ˌi n a j ˌo s u k ˈu m a
inayosukumwa|ˌi n a j ˌo s u k ˈu m w a
inayotafuta|ˌi n a j ˌo t a f ˈu t a
inayotaja|ˌi n a j o t ˈa ɟ a
inayotamani|ˌi n a j ˌo t a m ˈa n i
inayotamba|ˌi n a j o t ˈa m b a
inayotambua|ˌi n a j ˌo t a m b ˈu a
inayotambulisha|ˌi n a j ˌo t a m b u l ˈi ʃ a
inayotamka|ˌi n a j o t ˈa m k a
inayotangulia|ˌi n a j ˌo t a ŋ ɡ u l ˈi a
inayotatiza|ˌi n a j ˌo t a t ˈi z a
inayotawala|ˌi n a j ˌo t a w ˈa l a
inayotawaliwa|ˌi n a j ˌo t a w a l ˈi w a
inayotayarisha|ˌi n a j ˌo t a j a r ˈi ʃ a
inayotazama|ˌi n a j ˌo t a z ˈa m a
inayotembea|ˌi n a j ˌo t e m b ˈe a
inayotembelewa|ˌi n a j ˌo t e m b e l ˈe w a
inayotendeka|ˌi n a j ˌo t e n d ˈe k a
inayoteneneza|ˌi n a j ˌo t e n e n ˈe z a
inayotenganishwa|ˌi n a j ˌo t e ŋ ɡ a n ˈi ʃ w a
inayotengeneza|ˌi n a j ˌo t e ŋ ɡ e n ˈe z a
inayotengenezwa|ˌi n a j ˌo t e ŋ ɡ e n ˈe z w a
inayotengwa|ˌi n a j o t ˈe ŋ ɡ w a
inayoteremka|ˌi n a j ˌo t e r ˈe m k a
inayotimizwa|ˌi n a j ˌo t i m ˈi z w a
inayotiririka|ˌi n a j ˌo t i r i r ˈi k a
inayotiririsha|ˌi n a j ˌo t i r i r ˈi ʃ a
inayotoa|ˌi n a j o t ˈo a
inayotoka|ˌi n a j o t ˈo k a
inayotokana|ˌi n a j ˌo t o k ˈa n a
inayotokea|ˌi n a j ˌo t o k ˈe a
inayotozwa|ˌi n a j o t ˈo z w a
inayotumia|ˌi n a j ˌo t u m ˈi a
inayotumika|ˌi n a j ˌo t u m ˈi k a
inayotumikia|ˌi n a j ˌo t u m i k ˈi a
inayotumiwa|ˌi n a j ˌo t u m ˈi w a
inayotunza|ˌi n a j o t ˈu n z a
inayotuunganisha|ˌi n a j ˌo t u ˌu ŋ ɡ a n ˈi ʃ a
inayotuwezesha|ˌi n a j ˌo t u w e z ˈe ʃ a
inayoundwa|ˌi n a j o ˈu n d w a
inayoungana|ˌi n a j ˌo u ŋ ɡ ˈa n a
inayounganisha|ˌi n a j ˌo u ŋ ɡ a n ˈi ʃ a
inayounganishwa|ˌi n a j ˌo u ŋ ɡ a n ˈi ʃ w a
inayoungwa|ˌi n a j o ˈu ŋ ɡ w a
inayouuzwa|ˌi n a j ˌo u ˈu z w a
inayouzwa|ˌi n a j o ˈu z w a
inayovume|ˌi n a j o v ˈu m e
inayovunja|ˌi n a j o v ˈu ɲ ɟ a
inayovuta|ˌi n a j o v ˈu t a
inayovutia|ˌi n a j ˌo v u t ˈi a
inayowafanya|ˌi n a j ˌo w a f ˈa ɲ a
inayowakilisha|ˌi n a j ˌo w a k i l ˈi ʃ a
inayowapatia|ˌi n a j ˌo w a p a t ˈi a
inayowarejelea|ˌi n a j ˌo w a r ˌe ɟ e l ˈe a
inayowasha|ˌi n a j o w ˈa ʃ a
inayowashughulikia|ˌi n a j ˌo w a ʃ ˌu ɣ u l i k ˈi a
inayoweza|ˌi n a j o w ˈe z a
inayowezakuchangia|ˌi n a j ˌo w e z ˌa k u tʃ a ŋ ɡ ˈi a
inayowezekana|ˌi n a j ˌo w e z e k ˈa n a
inayoyeyuka|ˌi n a j ˌo j e j ˈu k a
inayoyeyusha|ˌi n a j ˌo j e j ˈu ʃ a
inayoyounganisha|ˌi n a j ˌo j o ˌu ŋ ɡ a n ˈi ʃ a
inayoyumbishwa|ˌi n a j ˌo j u m b ˈi ʃ w a
inayozalisha|ˌi n a j ˌo z a l ˈi ʃ a
inayozalishwa|ˌi n a j ˌo z a l ˈi ʃ w a
inayozanan|ˌi n a j o z ˈa n a n
inayozidi|ˌi n a j o z ˈi d i
inayozingatia|ˌi n a j ˌo z i ŋ ɡ a t ˈi a
inayozunguka|ˌi n a j ˌo z u ŋ ɡ ˈu k a
inayozungukwa|ˌi n a j ˌo z u ŋ ɡ ˈu k w a
inayozungumzia|ˌi n a j ˌo z u ŋ ɡ u m z ˈi a
inayozungumzwa|ˌi n a j ˌo z u ŋ ɡ ˈu m z w a
inayozungushwa|ˌi n a j ˌo z u ŋ ɡ ˈu ʃ w a
